111289  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111290  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111292  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111294  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111295  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111297  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111298  , -2508.06    , array([ 2.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111299  , -52857.7    , array([ 0.108904   ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111300  , -2180.65    , array([ 1.72694    ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111301  , -2969.58    , array([ 1.1089     ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
111302  , -2199.96    , array([ 2.1089     ,  0.199522   ,  1.62182    ,  4.14275    ,  5          ])
