2131    , -1311.4     , array([ 0.999885   ,  0.0977908  ,  5.01352    ,  2.56782    ,  0.0485619  ])
2132    , -1311.47    , array([ 0.998886   ,  0.0978887  ,  5.01352    ,  2.56782    ,  0.0485619  ])
2133    , -1311.41    , array([ 0.998886   ,  0.0977908  ,  5.01854    ,  2.56782    ,  0.0485619  ])
2134    , -1311.41    , array([ 0.998886   ,  0.0977908  ,  5.01352    ,  2.57039    ,  0.0485619  ])
2135    , -1311.34    , array([ 0.998886   ,  0.0977908  ,  5.01352    ,  2.56782    ,  0.0486105  ])
2136    , -1311.13    , array([ 1.00064    ,  0.098324   ,  4.98365    ,  2.53593    ,  0.0489077  ])
2137    , -1311.13    , array([ 1.00064    ,  0.098324   ,  4.98365    ,  2.53593    ,  0.0489077  ])
2138    , -1311.13    , array([ 1.00164    ,  0.098324   ,  4.98365    ,  2.53593    ,  0.0489077  ])
2139    , -1311.15    , array([ 1.00064    ,  0.0984224  ,  4.98365    ,  2.53593    ,  0.0489077  ])
2140    , -1311.13    , array([ 1.00064    ,  0.098324   ,  4.98864    ,  2.53593    ,  0.0489077  ])
2141    , -1311.13    , array([ 1.00064    ,  0.098324   ,  4.98365    ,  2.53846    ,  0.0489077  ])
2142    , -1311.12    , array([ 1.00064    ,  0.098324   ,  4.98365    ,  2.53593    ,  0.0489566  ])
2143    , -1311.12    , array([ 1.00034    ,  0.0982814  ,  4.9838     ,  2.5437     ,  0.0489549  ])
2144    , -1311.12    , array([ 1.00034    ,  0.0982814  ,  4.9838     ,  2.5437     ,  0.0489549  ])
2145    , -1311.12    , array([ 1.00134    ,  0.0982814  ,  4.9838     ,  2.5437     ,  0.0489549  ])
2146    , -1311.12    , array([ 1.00034    ,  0.0983798  ,  4.9838     ,  2.5437     ,  0.0489549  ])
2147    , -1311.12    , array([ 1.00034    ,  0.0982814  ,  4.98878    ,  2.5437     ,  0.0489549  ])
2148    , -1311.12    , array([ 1.00034    ,  0.0982814  ,  4.9838     ,  2.54625    ,  0.0489549  ])
2149    , -1311.12    , array([ 1.00034    ,  0.0982814  ,  4.9838     ,  2.5437     ,  0.0490039  ])
2150    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2151    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2152    , -1311.12    , array([ 1.00162    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2153    , -1311.12    , array([ 1.00062    ,  0.0983817  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2154    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98636    ,  2.54718    ,  0.0489681  ])
2155    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54973    ,  0.0489681  ])
2156    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0490171  ])
2157    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98128    ,  2.54848    ,  0.0489692  ])
2158    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98128    ,  2.54848    ,  0.0489692  ])
2159    , -1311.12    , array([ 1.00163    ,  0.0982782  ,  4.98128    ,  2.54848    ,  0.0489692  ])
2160    , -1311.12    , array([ 1.00063    ,  0.0983766  ,  4.98128    ,  2.54848    ,  0.0489692  ])
2161    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98626    ,  2.54848    ,  0.0489692  ])
2162    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98128    ,  2.55103    ,  0.0489692  ])
2163    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98128    ,  2.54848    ,  0.0490182  ])
2164    , -1311.12    , array([ 1.00062    ,  0.0982833  ,  4.98137    ,  2.54721    ,  0.0489681  ])
2165    , -1311.12    , array([ 1.00062    ,  0.0982833  ,  4.98137    ,  2.54721    ,  0.0489681  ])
2166    , -1311.12    , array([ 1.00162    ,  0.0982833  ,  4.98137    ,  2.54721    ,  0.0489681  ])
2167    , -1311.12    , array([ 1.00062    ,  0.0983816  ,  4.98137    ,  2.54721    ,  0.0489681  ])
2168    , -1311.12    , array([ 1.00062    ,  0.0982833  ,  4.98636    ,  2.54721    ,  0.0489681  ])
2169    , -1311.12    , array([ 1.00062    ,  0.0982833  ,  4.98137    ,  2.54976    ,  0.0489681  ])
