43360   , -2302.98    , array([ 0.351441   ,  0.0100011  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43361   , -2302.98    , array([ 0.351441   ,  0.0100006  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43362   , -2302.97    , array([ 0.351441   ,  0.0100003  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43363   , -2302.97    , array([ 0.351441   ,  0.0100001  ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43364   , -2302.97    , array([ 0.351441   ,  0.01       ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43366   , -2302.97    , array([ 0.351441   ,  0.01       ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43368   , -2302.97    , array([ 0.351441   ,  0.01       ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43369   , -2310.08    , array([ 0.351441   ,  0.01       ,  1.03882    ,  4.0901e-10 ,  0.00344681 ])
43371   , -2302.97    , array([ 0.351441   ,  0.01       ,  0.0388204  ,  4.0901e-10 ,  0.00344681 ])
43373   , -2305.62    , array([ 0.351441   ,  0.01       ,  0.420786   ,  4.0901e-10 ,  0.00344681 ])
43374   , -2304.29    , array([ 0.351441   ,  0.01       ,  0.229803   ,  4.0901e-10 ,  0.00344681 ])
43377   , -2303.47    , array([ 0.351441   ,  0.01       ,  0.111769   ,  4.0901e-10 ,  0.00344681 ])
43378   , -2302.74    , array([ 0.351441   ,  0.01       ,  0.00437857 ,  4.0901e-10 ,  0.00344681 ])
43380   , -2302.83    , array([ 0.351441   ,  0.01       ,  0.0175342  ,  4.0901e-10 ,  0.00344681 ])
43382   , -2302.77    , array([ 0.351441   ,  0.01       ,  0.00940356 ,  4.0901e-10 ,  0.00344681 ])
43383   , -2302.72    , array([ 0.351441   ,  0.01       ,  0.00127295 ,  4.0901e-10 ,  0.00344681 ])
43385   , -2302.72    , array([ 0.351441   ,  0.01       ,  0.00245919 ,  4.0901e-10 ,  0.00344681 ])
43386   , -2302.71    , array([ 0.351441   ,  0.01       ,  0.000539808,  4.0901e-10 ,  0.00344681 ])
43387   , -2302.71    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  4.0901e-10 ,  0.00344681 ])
43388   , -2302.71    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  4.0901e-10 ,  0.00344681 ])
43389   , -2295.46    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  1          ,  0.00344681 ])
43390   , -2286.38    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  2.61803    ,  0.00344681 ])
