13858   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13859   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13860   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13861   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13862   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13864   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13865   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13866   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13867   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13868   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13870   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13871   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13872   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13873   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13874   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13876   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13877   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13878   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13879   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13880   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13882   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13883   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13884   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13885   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13886   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13888   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13889   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13890   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13891   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13892   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13894   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13895   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13896   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13897   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13898   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13900   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13901   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13902   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13903   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13904   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13906   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13907   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13908   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13909   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13910   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13912   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13913   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13914   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13915   , -1088.31    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13916   , -1088.65    , array([ 0.445047   ,  99.9844    ,  0.521229   ,  0.0194689  ])
13918   , -1089.57    , array([ 0.444602   ,  99.9844    ,  0.521751   ,  0.0194689  ])
13919   , -1089.05    , array([ 0.444602   ,  99.9844    ,  0.521229   ,  0.0194884  ])
13923   , -3017.49    , array([ 0.663769   ,  73.5804    ,  1.38436    ,  0.0315387  ])
13924   , -3017.49    , array([ 0.663769   ,  73.5804    ,  1.38436    ,  0.0315387  ])
13925   , -3016.54    , array([ 0.664433   ,  73.5804    ,  1.38436    ,  0.0315387  ])
13926   , -3017.51    , array([ 0.663769   ,  73.6541    ,  1.38436    ,  0.0315387  ])
13927   , -3018.75    , array([ 0.663769   ,  73.5804    ,  1.38574    ,  0.0315387  ])
13928   , -3019.01    , array([ 0.663769   ,  73.5804    ,  1.38436    ,  0.0315703  ])
