39565   , -393.492    , array([ 0.0609469  ,  0.552578   ,  0.190481   ,  1.458e-23  ])
39566   , -393.441    , array([ 0.0610079  ,  0.552578   ,  0.190481   ,  1.458e-23  ])
39567   , -393.492    , array([ 0.0609469  ,  0.553131   ,  0.190481   ,  1.458e-23  ])
39568   , -393.583    , array([ 0.0609469  ,  0.552578   ,  0.190672   ,  1.458e-23  ])
39569   , -393.492    , array([ 0.0609469  ,  0.552578   ,  0.190481   ,  1.45946e-23])
39570   , -393.525    , array([ 0.0542388  ,  0.552578   ,  0.176431   ,  1.458e-23  ])
39571   , -393.525    , array([ 0.0542388  ,  0.552578   ,  0.176431   ,  1.458e-23  ])
39572   , -393.459    , array([ 0.0542931  ,  0.552578   ,  0.176431   ,  1.458e-23  ])
39573   , -393.525    , array([ 0.0542388  ,  0.553131   ,  0.176431   ,  1.458e-23  ])
39574   , -393.637    , array([ 0.0542388  ,  0.552578   ,  0.176608   ,  1.458e-23  ])
39575   , -393.525    , array([ 0.0542388  ,  0.552578   ,  0.176431   ,  1.45946e-23])
39576   , -393.482    , array([ 0.0594616  ,  0.552578   ,  0.187418   ,  1.458e-23  ])
39577   , -393.482    , array([ 0.0594616  ,  0.552578   ,  0.187418   ,  1.458e-23  ])
39578   , -393.429    , array([ 0.0595211  ,  0.552578   ,  0.187418   ,  1.458e-23  ])
39579   , -393.482    , array([ 0.0594616  ,  0.553131   ,  0.187418   ,  1.458e-23  ])
39580   , -393.575    , array([ 0.0594616  ,  0.552578   ,  0.187605   ,  1.458e-23  ])
39581   , -393.482    , array([ 0.0594616  ,  0.552578   ,  0.187418   ,  1.45946e-23])
39582   , -393.494    , array([ 0.055961   ,  0.552578   ,  0.180092   ,  1.458e-23  ])
39583   , -393.494    , array([ 0.055961   ,  0.552578   ,  0.180092   ,  1.458e-23  ])
39584   , -393.435    , array([ 0.0560169  ,  0.552578   ,  0.180092   ,  1.458e-23  ])
39585   , -393.494    , array([ 0.055961   ,  0.553131   ,  0.180092   ,  1.458e-23  ])
39586   , -393.598    , array([ 0.055961   ,  0.552578   ,  0.180273   ,  1.458e-23  ])
39587   , -393.494    , array([ 0.055961   ,  0.552578   ,  0.180092   ,  1.45946e-23])
39588   , -393.48     , array([ 0.0587119  ,  0.552578   ,  0.185862   ,  1.458e-23  ])
39589   , -393.48     , array([ 0.0587119  ,  0.552578   ,  0.185862   ,  1.458e-23  ])
39590   , -393.426    , array([ 0.0587706  ,  0.552578   ,  0.185862   ,  1.458e-23  ])
39591   , -393.48     , array([ 0.0587119  ,  0.553131   ,  0.185862   ,  1.458e-23  ])
39592   , -393.574    , array([ 0.0587119  ,  0.552578   ,  0.186048   ,  1.458e-23  ])
39593   , -393.48     , array([ 0.0587119  ,  0.552578   ,  0.185862   ,  1.45946e-23])
39594   , -393.485    , array([ 0.0568815  ,  0.552578   ,  0.182034   ,  1.458e-23  ])
39595   , -393.485    , array([ 0.0568815  ,  0.552578   ,  0.182034   ,  1.458e-23  ])
39596   , -393.428    , array([ 0.0569384  ,  0.552578   ,  0.182034   ,  1.458e-23  ])
39597   , -393.485    , array([ 0.0568815  ,  0.553131   ,  0.182034   ,  1.458e-23  ])
39598   , -393.585    , array([ 0.0568815  ,  0.552578   ,  0.182216   ,  1.458e-23  ])
39599   , -393.485    , array([ 0.0568815  ,  0.552578   ,  0.182034   ,  1.45946e-23])
39600   , -393.48     , array([ 0.0583265  ,  0.552578   ,  0.185059   ,  1.458e-23  ])
39601   , -393.48     , array([ 0.0583265  ,  0.552578   ,  0.185059   ,  1.458e-23  ])
