46078   , -1632.54    , array([ 1.43651    ,  0.0676507  ,  5.04965e-53,  3.14536e-20,  0.0242263  ])
46079   , -1632.54    , array([ 1.43795    ,  0.0676507  ,  5.04965e-53,  3.14536e-20,  0.0242263  ])
46080   , -1632.54    , array([ 1.43651    ,  0.0677184  ,  5.04965e-53,  3.14536e-20,  0.0242263  ])
46081   , -1632.54    , array([ 1.43651    ,  0.0676507  ,  5.0547e-53 ,  3.14536e-20,  0.0242263  ])
46082   , -1632.54    , array([ 1.43651    ,  0.0676507  ,  5.04965e-53,  3.14851e-20,  0.0242263  ])
46083   , -1632.54    , array([ 1.43651    ,  0.0676507  ,  5.04965e-53,  3.14536e-20,  0.0242506  ])
46084   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46085   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46086   , -1632.54    , array([ 1.43797    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46087   , -1632.54    , array([ 1.43653    ,  0.0677187  ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46088   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.0547e-53 ,  3.14536e-20,  0.0242265  ])
46089   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14851e-20,  0.0242265  ])
46090   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242507  ])
46091   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46092   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46093   , -1632.54    , array([ 1.43797    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46094   , -1632.54    , array([ 1.43653    ,  0.0677187  ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
46095   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.0547e-53 ,  3.14536e-20,  0.0242265  ])
46096   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14851e-20,  0.0242265  ])
46097   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242507  ])
46098   , -1632.54    , array([ 1.43653    ,  0.067651   ,  5.04965e-53,  3.14536e-20,  0.0242265  ])
