44650   , -393.802    , array([ 0.0819638  ,  29.648     ,  0.229978   ,  2.13945e-90])
44651   , -393.731    , array([ 0.0819638  ,  29.648     ,  0.229748   ,  2.14159e-90])
44652   , -393.731    , array([ 0.0819921  ,  29.648     ,  0.229795   ,  2.13945e-90])
44653   , -393.731    , array([ 0.0819921  ,  29.648     ,  0.229795   ,  2.13945e-90])
44654   , -393.695    , array([ 0.0820741  ,  29.648     ,  0.229795   ,  2.13945e-90])
44655   , -393.731    , array([ 0.0819921  ,  29.6777    ,  0.229795   ,  2.13945e-90])
44656   , -393.802    , array([ 0.0819921  ,  29.648     ,  0.230024   ,  2.13945e-90])
44657   , -393.731    , array([ 0.0819921  ,  29.648     ,  0.229795   ,  2.14159e-90])
44658   , -393.731    , array([ 0.081998   ,  29.648     ,  0.229804   ,  2.13945e-90])
44659   , -393.731    , array([ 0.081998   ,  29.648     ,  0.229804   ,  2.13945e-90])
44660   , -393.695    , array([ 0.0820801  ,  29.648     ,  0.229804   ,  2.13945e-90])
44661   , -393.731    , array([ 0.081998   ,  29.6777    ,  0.229804   ,  2.13945e-90])
44662   , -393.802    , array([ 0.081998   ,  29.648     ,  0.230034   ,  2.13945e-90])
44663   , -393.731    , array([ 0.081998   ,  29.648     ,  0.229804   ,  2.14159e-90])
44664   , -393.731    , array([ 0.0819993  ,  29.648     ,  0.229806   ,  2.13945e-90])
44665   , -393.731    , array([ 0.0819993  ,  29.648     ,  0.229806   ,  2.13945e-90])
44666   , -393.695    , array([ 0.0820813  ,  29.648     ,  0.229806   ,  2.13945e-90])
44667   , -393.731    , array([ 0.0819993  ,  29.6777    ,  0.229806   ,  2.13945e-90])
44668   , -393.802    , array([ 0.0819993  ,  29.648     ,  0.230036   ,  2.13945e-90])
44669   , -393.731    , array([ 0.0819993  ,  29.648     ,  0.229806   ,  2.14159e-90])
44670   , -393.731    , array([ 0.0819995  ,  29.648     ,  0.229807   ,  2.13945e-90])
44671   , -393.731    , array([ 0.0819995  ,  29.648     ,  0.229807   ,  2.13945e-90])
44672   , -393.695    , array([ 0.0820816  ,  29.648     ,  0.229807   ,  2.13945e-90])
44673   , -393.731    , array([ 0.0819995  ,  29.6777    ,  0.229807   ,  2.13945e-90])
44674   , -393.802    , array([ 0.0819995  ,  29.648     ,  0.230037   ,  2.13945e-90])
44675   , -393.731    , array([ 0.0819995  ,  29.648     ,  0.229807   ,  2.14159e-90])
44676   , -393.731    , array([ 0.0819996  ,  29.648     ,  0.229807   ,  2.13945e-90])
44677   , -393.731    , array([ 0.0819996  ,  29.648     ,  0.229807   ,  2.13945e-90])
