25117   , -2231.59    , array([ 0.0689314  ,  0.00128357 ,  6.33216e-39,  7.70293e-06])
25118   , -2221.95    , array([ 0.0689314  ,  0.00112316 ,  6.33216e-39,  7.42251e-06])
25119   , -2221.95    , array([ 0.0689314  ,  0.00112316 ,  6.33216e-39,  7.42251e-06])
25120   , -2221.95    , array([ 0.0690004  ,  0.00112316 ,  6.33216e-39,  7.42251e-06])
25121   , -2222.05    , array([ 0.0689314  ,  0.00112428 ,  6.33216e-39,  7.42251e-06])
25122   , -2221.95    , array([ 0.0689314  ,  0.00112316 ,  6.33849e-39,  7.42251e-06])
25123   , -2221.84    , array([ 0.0689314  ,  0.00112316 ,  6.33216e-39,  7.42993e-06])
25124   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28979e-06])
25125   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.28979e-06])
25126   , -2216.78    , array([ 0.0690004  ,  0.00105063 ,  6.33216e-39,  7.28979e-06])
25127   , -2216.89    , array([ 0.0689314  ,  0.00105168 ,  6.33216e-39,  7.28979e-06])
25128   , -2216.78    , array([ 0.0689314  ,  0.00105063 ,  6.33849e-39,  7.28979e-06])
25129   , -2216.68    , array([ 0.0689314  ,  0.00105063 ,  6.33216e-39,  7.29708e-06])
25130   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22432e-06])
25131   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.22432e-06])
25132   , -2214.13    , array([ 0.0690004  ,  0.00101614 ,  6.33216e-39,  7.22432e-06])
25133   , -2214.24    , array([ 0.0689314  ,  0.00101716 ,  6.33216e-39,  7.22432e-06])
25134   , -2214.13    , array([ 0.0689314  ,  0.00101614 ,  6.33849e-39,  7.22432e-06])
25135   , -2214.02    , array([ 0.0689314  ,  0.00101614 ,  6.33216e-39,  7.23155e-06])
25137   , -2213.46    , array([ 0.0689314  ,  0.0010077  ,  6.33216e-39,  7.20805e-06])
25138   , -2213.46    , array([ 0.0689314  ,  0.0010077  ,  6.33216e-39,  7.20805e-06])
25139   , -2213.46    , array([ 0.0690004  ,  0.0010077  ,  6.33216e-39,  7.20805e-06])
25140   , -2213.57    , array([ 0.0689314  ,  0.00100871 ,  6.33216e-39,  7.20805e-06])
25141   , -2213.46    , array([ 0.0689314  ,  0.0010077  ,  6.33849e-39,  7.20805e-06])
25142   , -2213.34    , array([ 0.0689314  ,  0.0010077  ,  6.33216e-39,  7.21526e-06])
25143   , -2213.12    , array([ 0.0689314  ,  0.00100351 ,  6.33216e-39,  7.19992e-06])
25144   , -2213.12    , array([ 0.0689314  ,  0.00100351 ,  6.33216e-39,  7.19992e-06])
25145   , -2213.12    , array([ 0.0690004  ,  0.00100351 ,  6.33216e-39,  7.19992e-06])
25146   , -2213.23    , array([ 0.0689314  ,  0.00100451 ,  6.33216e-39,  7.19992e-06])
25147   , -2213.12    , array([ 0.0689314  ,  0.00100351 ,  6.33849e-39,  7.19992e-06])
25148   , -2213.01    , array([ 0.0689314  ,  0.00100351 ,  6.33216e-39,  7.20713e-06])
25149   , -2212.95    , array([ 0.0689314  ,  0.00100141 ,  6.33216e-39,  7.19586e-06])
25150   , -2212.95    , array([ 0.0689314  ,  0.00100141 ,  6.33216e-39,  7.19586e-06])
25151   , -2212.95    , array([ 0.0690004  ,  0.00100141 ,  6.33216e-39,  7.19586e-06])
25152   , -2213.06    , array([ 0.0689314  ,  0.00100242 ,  6.33216e-39,  7.19586e-06])
25153   , -2212.95    , array([ 0.0689314  ,  0.00100141 ,  6.33849e-39,  7.19586e-06])
25154   , -2212.84    , array([ 0.0689314  ,  0.00100141 ,  6.33216e-39,  7.20306e-06])
