169851  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169852  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169853  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169854  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169855  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169856  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169858  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169859  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169860  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169861  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169862  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169863  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169865  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169866  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169867  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169868  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169869  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169870  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169872  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169873  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169874  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169875  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169876  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169877  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169879  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169880  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169881  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169882  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169883  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169884  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169886  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169887  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169888  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169889  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
