254177  , -47980.8    , array([ 0.00197806 ,  0.0148173  ,  1.25601e-06,  6.12275e-38,  0.000252347])
254178  , -47983.4    , array([ 0.00197806 ,  0.0148173  ,  1.25601e-06,  6.11663e-38,  0.0002526  ])
254186  , -47980.1    , array([ 0.00197798 ,  0.0148153  ,  1.25601e-06,  6.11663e-38,  0.000252339])
254187  , -47980.1    , array([ 0.00197798 ,  0.0148153  ,  1.25601e-06,  6.11663e-38,  0.000252339])
254188  , -47970.3    , array([ 0.00197996 ,  0.0148153  ,  1.25601e-06,  6.11663e-38,  0.000252339])
254189  , -47987.4    , array([ 0.00197798 ,  0.0148301  ,  1.25601e-06,  6.11663e-38,  0.000252339])
254190  , -47980.1    , array([ 0.00197798 ,  0.0148153  ,  1.25727e-06,  6.11663e-38,  0.000252339])
254191  , -47980.1    , array([ 0.00197798 ,  0.0148153  ,  1.25601e-06,  6.12275e-38,  0.000252339])
254192  , -47982.7    , array([ 0.00197798 ,  0.0148153  ,  1.25601e-06,  6.11663e-38,  0.000252592])
254193  , -47979.5    , array([ 0.0019779  ,  0.0148133  ,  1.25601e-06,  6.11663e-38,  0.000252331])
254194  , -47979.5    , array([ 0.0019779  ,  0.0148133  ,  1.25601e-06,  6.11663e-38,  0.000252331])
254195  , -47969.6    , array([ 0.00197988 ,  0.0148133  ,  1.25601e-06,  6.11663e-38,  0.000252331])
254196  , -47986.7    , array([ 0.0019779  ,  0.0148281  ,  1.25601e-06,  6.11663e-38,  0.000252331])
254197  , -47979.5    , array([ 0.0019779  ,  0.0148133  ,  1.25727e-06,  6.11663e-38,  0.000252331])
254198  , -47979.5    , array([ 0.0019779  ,  0.0148133  ,  1.25601e-06,  6.12275e-38,  0.000252331])
254199  , -47982      , array([ 0.0019779  ,  0.0148133  ,  1.25601e-06,  6.11663e-38,  0.000252584])
254200  , -30629.7    , array([ 0.00105903 ,  0.00188951 ,  1.25601e-06,  6.11663e-38,  0.000156561])
254201  , -30629.7    , array([ 0.00105903 ,  0.00188951 ,  1.25601e-06,  6.11663e-38,  0.000156561])
