2127    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2128    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2129    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2130    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2131    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2132    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2133    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2134    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2135    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2136    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2137    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2138    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2139    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2140    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2141    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2142    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2143    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2144    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2145    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2146    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2147    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2148    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2149    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2150    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2151    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2152    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2153    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2154    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2155    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2156    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2157    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2158    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2159    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2160    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2161    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2162    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2163    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2164    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2165    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
2166    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2167    , -390.957    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2168    , -390.997    , array([ 0.00255317 ,  0.0435263  ,  0.004454   ,  0.0652135  ])
2169    , -390.952    , array([ 0.00255062 ,  0.0435698  ,  0.004454   ,  0.0652135  ])
2170    , -390.926    , array([ 0.00255062 ,  0.0435263  ,  0.00445845 ,  0.0652135  ])
2171    , -390.945    , array([ 0.00255062 ,  0.0435263  ,  0.004454   ,  0.0652787  ])
