43089   , -2364.37    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99962    ])
43091   , -2364.35    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99985    ])
43093   , -2364.35    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99993    ])
43095   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99997    ])
43096   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43098   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  4.99999    ])
43099   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43100   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43102   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43104   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43105   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43107   , -2364.34    , array([ 1.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
43108   , -2685.95    , array([ 2.83315    ,  0.254471   ,  1.49036    ,  3.18538    ,  5          ])
