308602  , -6223.2     , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23795    ,  0.29913    ])
308603  , -6226       , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23171    ,  0.299429   ])
308611  , -6224.12    , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23172    ,  0.29913    ])
308612  , -6224.12    , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23172    ,  0.29913    ])
308613  , -6226.93    , array([ 2.21108    ,  0.15366    ,  1.13362e-15,  6.23172    ,  0.29913    ])
308614  , -6225.94    , array([ 2.20887    ,  0.153814   ,  1.13362e-15,  6.23172    ,  0.29913    ])
308615  , -6224.12    , array([ 2.20887    ,  0.15366    ,  1.13476e-15,  6.23172    ,  0.29913    ])
308616  , -6223.2     , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23796    ,  0.29913    ])
308617  , -6225.99    , array([ 2.20887    ,  0.15366    ,  1.13362e-15,  6.23172    ,  0.299429   ])
308618  , -5045.29    , array([ 2.11578    ,  0.10737    ,  1.13362e-15,  8.80493    ,  0.258219   ])
308619  , -5045.29    , array([ 2.11578    ,  0.10737    ,  1.13362e-15,  8.80493    ,  0.258219   ])
308620  , -5048.12    , array([ 2.1179     ,  0.10737    ,  1.13362e-15,  8.80493    ,  0.258219   ])
308621  , -5046.23    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80493    ,  0.258219   ])
308622  , -5045.29    , array([ 2.11578    ,  0.10737    ,  1.13476e-15,  8.80493    ,  0.258219   ])
308623  , -5044.33    , array([ 2.11578    ,  0.10737    ,  1.13362e-15,  8.81373    ,  0.258219   ])
308624  , -5046.74    , array([ 2.11578    ,  0.10737    ,  1.13362e-15,  8.80493    ,  0.258477   ])
308632  , -5045.28    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80495    ,  0.258218   ])
308633  , -5045.28    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80495    ,  0.258218   ])
