135101  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135102  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135103  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135104  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135105  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135106  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135107  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135108  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135109  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135110  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135111  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135112  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135113  , -79089.4    , array([ 0.0181854  ,  0.168789   ,  2.75892e-27,  6.68234e-30,  9.45046e-13])
135114  , -79089.4    , array([ 0.0181854  ,  0.168789   ,  2.75892e-27,  6.68234e-30,  9.45046e-13])
135115  , -79089.4    , array([ 0.0182036  ,  0.168789   ,  2.75892e-27,  6.68234e-30,  9.45046e-13])
135116  , -79089.4    , array([ 0.0181854  ,  0.168958   ,  2.75892e-27,  6.68234e-30,  9.45046e-13])
135117  , -79089.4    , array([ 0.0181854  ,  0.168789   ,  2.76168e-27,  6.68234e-30,  9.45046e-13])
135118  , -79089.4    , array([ 0.0181854  ,  0.168789   ,  2.75892e-27,  6.68903e-30,  9.45046e-13])
135119  , -79089.4    , array([ 0.0181854  ,  0.168789   ,  2.75892e-27,  6.68234e-30,  9.45991e-13])
135120  , -79089.4    , array([ 0.0181846  ,  0.168788   ,  2.75892e-27,  6.68234e-30,  9.45091e-13])
135121  , -79089.4    , array([ 0.0181846  ,  0.168788   ,  2.75892e-27,  6.68234e-30,  9.45091e-13])
135122  , -79089.4    , array([ 0.0182028  ,  0.168788   ,  2.75892e-27,  6.68234e-30,  9.45091e-13])
135123  , -79089.4    , array([ 0.0181846  ,  0.168957   ,  2.75892e-27,  6.68234e-30,  9.45091e-13])
135124  , -79089.4    , array([ 0.0181846  ,  0.168788   ,  2.76168e-27,  6.68234e-30,  9.45091e-13])
135125  , -79089.4    , array([ 0.0181846  ,  0.168788   ,  2.75892e-27,  6.68903e-30,  9.45091e-13])
135126  , -79089.4    , array([ 0.0181846  ,  0.168788   ,  2.75892e-27,  6.68234e-30,  9.46037e-13])
135127  , -79089.4    , array([ 0.0181831  ,  0.168785   ,  2.75892e-27,  6.68234e-30,  9.45183e-13])
135128  , -79089.4    , array([ 0.0181831  ,  0.168785   ,  2.75892e-27,  6.68234e-30,  9.45183e-13])
135129  , -79089.4    , array([ 0.0182013  ,  0.168785   ,  2.75892e-27,  6.68234e-30,  9.45183e-13])
135130  , -79089.4    , array([ 0.0181831  ,  0.168954   ,  2.75892e-27,  6.68234e-30,  9.45183e-13])
135131  , -79089.4    , array([ 0.0181831  ,  0.168785   ,  2.76168e-27,  6.68234e-30,  9.45183e-13])
135132  , -79089.4    , array([ 0.0181831  ,  0.168785   ,  2.75892e-27,  6.68903e-30,  9.45183e-13])
135133  , -79089.4    , array([ 0.0181831  ,  0.168785   ,  2.75892e-27,  6.68234e-30,  9.46128e-13])
135134  , -79089.4    , array([ 0.0181801  ,  0.168781   ,  2.75892e-27,  6.68234e-30,  9.45365e-13])
135135  , -79089.4    , array([ 0.0181801  ,  0.168781   ,  2.75892e-27,  6.68234e-30,  9.45365e-13])
135136  , -79089.4    , array([ 0.0181983  ,  0.168781   ,  2.75892e-27,  6.68234e-30,  9.45365e-13])
135137  , -79089.4    , array([ 0.0181801  ,  0.16895    ,  2.75892e-27,  6.68234e-30,  9.45365e-13])
135138  , -79089.4    , array([ 0.0181801  ,  0.168781   ,  2.76168e-27,  6.68234e-30,  9.45365e-13])
135139  , -79089.4    , array([ 0.0181801  ,  0.168781   ,  2.75892e-27,  6.68903e-30,  9.45365e-13])
135140  , -79089.4    , array([ 0.0181801  ,  0.168781   ,  2.75892e-27,  6.68234e-30,  9.46311e-13])
135141  , -79089.4    , array([ 0.0181741  ,  0.168772   ,  2.75892e-27,  6.68234e-30,  9.4573e-13 ])
135142  , -79089.4    , array([ 0.0181741  ,  0.168772   ,  2.75892e-27,  6.68234e-30,  9.4573e-13 ])
135143  , -79089.4    , array([ 0.0181923  ,  0.168772   ,  2.75892e-27,  6.68234e-30,  9.4573e-13 ])
135144  , -79089.4    , array([ 0.0181741  ,  0.168941   ,  2.75892e-27,  6.68234e-30,  9.4573e-13 ])
135145  , -79089.4    , array([ 0.0181741  ,  0.168772   ,  2.76168e-27,  6.68234e-30,  9.4573e-13 ])
135146  , -79089.4    , array([ 0.0181741  ,  0.168772   ,  2.75892e-27,  6.68903e-30,  9.4573e-13 ])
135147  , -79089.4    , array([ 0.0181741  ,  0.168772   ,  2.75892e-27,  6.68234e-30,  9.46676e-13])
135148  , -79089.4    , array([ 0.0181621  ,  0.168754   ,  2.75892e-27,  6.68234e-30,  9.4646e-13 ])
135149  , -79089.4    , array([ 0.0181621  ,  0.168754   ,  2.75892e-27,  6.68234e-30,  9.4646e-13 ])
135150  , -79089.4    , array([ 0.0181803  ,  0.168754   ,  2.75892e-27,  6.68234e-30,  9.4646e-13 ])
135151  , -79089.4    , array([ 0.0181621  ,  0.168923   ,  2.75892e-27,  6.68234e-30,  9.4646e-13 ])
135152  , -79089.4    , array([ 0.0181621  ,  0.168754   ,  2.76168e-27,  6.68234e-30,  9.4646e-13 ])
