64906   , -2302.98    , array([ 0.350657   ,  0.0100023  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64908   , -2302.98    , array([ 0.350657   ,  0.0100011  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64909   , -2302.97    , array([ 0.350657   ,  0.0100001  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64911   , -2302.97    , array([ 0.350657   ,  0.0100002  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64912   , -2302.97    , array([ 0.350657   ,  0.0100001  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64913   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64914   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64916   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64918   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64919   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64920   , -2310.04    , array([ 0.350657   ,  0.01       ,  1.06732    ,  1.36609e-09,  0.00344895 ])
64922   , -2302.97    , array([ 0.350657   ,  0.01       ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64924   , -2305.61    , array([ 0.350657   ,  0.01       ,  0.449291   ,  1.36609e-09,  0.00344895 ])
64925   , -2304.28    , array([ 0.350657   ,  0.01       ,  0.258308   ,  1.36609e-09,  0.00344895 ])
64928   , -2303.47    , array([ 0.350657   ,  0.01       ,  0.140274   ,  1.36609e-09,  0.00344895 ])
64929   , -2302.74    , array([ 0.350657   ,  0.01       ,  0.0328831  ,  1.36609e-09,  0.00344895 ])
64930   , -2302.59    , array([ 0.350657   ,  0.01       ,  0.0115969  ,  1.36609e-09,  0.00344895 ])
64932   , -2302.65    , array([ 0.350657   ,  0.01       ,  0.0197275  ,  1.36609e-09,  0.00344895 ])
64933   , -2302.56    , array([ 0.350657   ,  0.01       ,  0.00657188 ,  1.36609e-09,  0.00344895 ])
64934   , -2302.54    , array([ 0.350657   ,  0.01       ,  0.00346626 ,  1.36609e-09,  0.00344895 ])
64935   , -2302.52    , array([ 0.350657   ,  0.01       ,  0.00154688 ,  1.36609e-09,  0.00344895 ])
64936   , -2302.52    , array([ 0.350657   ,  0.01       ,  0.000360642,  1.36609e-09,  0.00344895 ])
64938   , -2302.52    , array([ 0.350657   ,  0.01       ,  0.000360642,  1.36609e-09,  0.00344895 ])
64939   , -2295.16    , array([ 0.350657   ,  0.01       ,  0.000360642,  1          ,  0.00344895 ])
64940   , -2285.91    , array([ 0.350657   ,  0.01       ,  0.000360642,  2.61803    ,  0.00344895 ])
64941   , -2276.41    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.37225    ,  0.00344895 ])
64943   , -2276.41    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.37225    ,  0.00344895 ])
64944   , -2278.38    , array([ 0.350657   ,  0.01       ,  0.000360642,  8.69248    ,  0.00344895 ])
64945   , -2278.13    , array([ 0.350657   ,  0.01       ,  0.000360642,  4.93827    ,  0.00344895 ])
64946   , -2276.34    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00344895 ])
64947   , -2276.34    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.68782    ,  0.00344895 ])
64948   , -2276.34    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.82293    ,  0.00344895 ])
64949   , -2276.34    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00344895 ])
64950   , -59331.2    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  1.00345    ])
64952   , -2276.34    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00344895 ])
64954   , -61453.8    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.385415   ])
64955   , -60504.1    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.193954   ])
64958   , -57213      , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.0762153  ])
64960   , -49052.5    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.0312432  ])
64962   , -25553.9    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.0140654  ])
64964   , -9454.08    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00750408 ])
64965   , -11829.2    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00152957 ])
64966   , -3161.76    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00469284 ])
64967   , -2550.91    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.0031254  ])
64968   , -2247.01    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00371338 ])
64969   , -2239.85    , array([ 0.350657   ,  0.01       ,  0.000360642,  6.75538    ,  0.00362536 ])
