45558   , -1632.29    , array([ 1.45157    ,  0.0685153  ,  3.92803e-87,  4.71013e-22,  0.0245062  ])
45559   , -1632.29    , array([ 1.45157    ,  0.0685153  ,  3.92411e-87,  4.71484e-22,  0.0245062  ])
45560   , -1632.26    , array([ 1.45157    ,  0.0685153  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45561   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45562   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45563   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45564   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45565   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45566   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45567   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45568   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45569   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45570   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45571   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45572   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45573   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45574   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45575   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45576   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45577   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45578   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45579   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45580   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45581   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45582   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45583   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45584   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45585   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45586   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45587   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45588   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45589   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45590   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45591   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45592   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45593   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45594   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45595   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45596   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45597   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45598   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45599   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45600   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45601   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45602   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
45603   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45604   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45605   , -1632.3     , array([ 1.45302    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45606   , -1632.34    , array([ 1.45157    ,  0.0685841  ,  3.92411e-87,  4.71013e-22,  0.0245063  ])
45607   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92803e-87,  4.71013e-22,  0.0245063  ])
45608   , -1632.29    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71484e-22,  0.0245063  ])
45609   , -1632.26    , array([ 1.45157    ,  0.0685155  ,  3.92411e-87,  4.71013e-22,  0.0245308  ])
