91562   , -23845.8    , array([ 97.6959    ,  0.0254103  ,  6.35534e-05,  2.03272e-40,  0.0283536  ])
91563   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.36169e-05,  2.03272e-40,  0.0283536  ])
91564   , -23886.9    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03476e-40,  0.0283536  ])
91565   , -23927.1    , array([ 97.6959    ,  0.0253849  ,  6.35534e-05,  2.03272e-40,  0.028382   ])
91566   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91567   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91568   , -23864      , array([ 99.7623    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91569   , -23822.9    , array([ 99.6626    ,  0.0253023  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91570   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.24935e-05,  2.03272e-40,  0.0282138  ])
91571   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03476e-40,  0.0282138  ])
91572   , -23904.1    , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282421  ])
91580   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91581   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91582   , -23864      , array([ 99.7623    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91583   , -23822.9    , array([ 99.6626    ,  0.0253023  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91584   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.24935e-05,  2.03272e-40,  0.0282138  ])
91585   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03476e-40,  0.0282138  ])
91586   , -23904.1    , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282421  ])
91594   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91595   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91596   , -23864      , array([ 99.7623    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91597   , -23822.9    , array([ 99.6626    ,  0.0253023  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91598   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.24935e-05,  2.03272e-40,  0.0282138  ])
91599   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03476e-40,  0.0282138  ])
91600   , -23904.1    , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282421  ])
91601   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91602   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91603   , -23864      , array([ 99.7623    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91604   , -23822.9    , array([ 99.6626    ,  0.0253023  ,  6.2431e-05 ,  2.03272e-40,  0.0282138  ])
91605   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.24935e-05,  2.03272e-40,  0.0282138  ])
91606   , -23864      , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03476e-40,  0.0282138  ])
