63621   , -14290.6    , array([ 72.8217    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63622   , -14313.2    , array([ 72.7489    ,  0.0086971  ,  0.125064   ,  6.89658e-29,  0.00119135 ])
63623   , -14290.6    , array([ 72.7489    ,  0.0086884  ,  0.125189   ,  6.89658e-29,  0.00119135 ])
63624   , -14290.6    , array([ 72.7489    ,  0.0086884  ,  0.125064   ,  6.90348e-29,  0.00119135 ])
63625   , -14268      , array([ 72.7489    ,  0.0086884  ,  0.125064   ,  6.89658e-29,  0.00119254 ])
63626   , -14290.6    , array([ 72.7494    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63627   , -14290.6    , array([ 72.7494    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63628   , -14290.6    , array([ 72.8222    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63629   , -14313.1    , array([ 72.7494    ,  0.00869711 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63630   , -14290.6    , array([ 72.7494    ,  0.00868842 ,  0.12519    ,  6.89658e-29,  0.00119135 ])
63631   , -14290.6    , array([ 72.7494    ,  0.00868842 ,  0.125065   ,  6.90348e-29,  0.00119135 ])
63632   , -14268      , array([ 72.7494    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119254 ])
63640   , -14290.6    , array([ 72.7495    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63641   , -14290.6    , array([ 72.7495    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63642   , -14290.6    , array([ 72.8222    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63643   , -14313.1    , array([ 72.7495    ,  0.00869711 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63644   , -14290.6    , array([ 72.7495    ,  0.00868842 ,  0.12519    ,  6.89658e-29,  0.00119135 ])
63645   , -14290.6    , array([ 72.7495    ,  0.00868842 ,  0.125065   ,  6.90348e-29,  0.00119135 ])
63646   , -14268      , array([ 72.7495    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119254 ])
63647   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63648   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63649   , -14290.6    , array([ 72.8224    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63650   , -14313.1    , array([ 72.7496    ,  0.00869712 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63651   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.12519    ,  6.89658e-29,  0.00119135 ])
63652   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.90348e-29,  0.00119135 ])
63653   , -14268      , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119254 ])
63661   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63662   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63663   , -14290.6    , array([ 72.8224    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63664   , -14313.1    , array([ 72.7496    ,  0.00869712 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63665   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.12519    ,  6.89658e-29,  0.00119135 ])
63666   , -14290.6    , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.90348e-29,  0.00119135 ])
63667   , -14268      , array([ 72.7496    ,  0.00868842 ,  0.125065   ,  6.89658e-29,  0.00119254 ])
63668   , -14290.6    , array([ 72.7496    ,  0.00868843 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63669   , -14290.6    , array([ 72.7496    ,  0.00868843 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63670   , -14290.6    , array([ 72.8224    ,  0.00868843 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63671   , -14313.1    , array([ 72.7496    ,  0.00869712 ,  0.125065   ,  6.89658e-29,  0.00119135 ])
63672   , -14290.6    , array([ 72.7496    ,  0.00868843 ,  0.12519    ,  6.89658e-29,  0.00119135 ])
63673   , -14290.6    , array([ 72.7496    ,  0.00868843 ,  0.125065   ,  6.90348e-29,  0.00119135 ])
63674   , -14268      , array([ 72.7496    ,  0.00868843 ,  0.125065   ,  6.89658e-29,  0.00119254 ])
63675   , -14199.5    , array([ 86.3697    ,  0.00909213 ,  0.134968   ,  6.89658e-29,  0.00125172 ])
63676   , -14199.5    , array([ 86.3697    ,  0.00909213 ,  0.134968   ,  6.89658e-29,  0.00125172 ])
63677   , -14199.5    , array([ 86.4561    ,  0.00909213 ,  0.134968   ,  6.89658e-29,  0.00125172 ])
63678   , -14222      , array([ 86.3697    ,  0.00910123 ,  0.134968   ,  6.89658e-29,  0.00125172 ])
63679   , -14199.5    , array([ 86.3697    ,  0.00909213 ,  0.135103   ,  6.89658e-29,  0.00125172 ])
63680   , -14199.5    , array([ 86.3697    ,  0.00909213 ,  0.134968   ,  6.90348e-29,  0.00125172 ])
63681   , -14176.9    , array([ 86.3697    ,  0.00909213 ,  0.134968   ,  6.89658e-29,  0.00125297 ])
63682   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63683   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63684   , -14139.4    , array([ 96.8247    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63685   , -14161.9    , array([ 96.7279    ,  0.00937818 ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63686   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.142072   ,  6.89658e-29,  0.00129323 ])
63687   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.90348e-29,  0.00129323 ])
63688   , -14116.9    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129452 ])
63696   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63697   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63698   , -14139.4    , array([ 96.8247    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63699   , -14161.9    , array([ 96.7279    ,  0.00937818 ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63700   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.142072   ,  6.89658e-29,  0.00129323 ])
63701   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.90348e-29,  0.00129323 ])
63702   , -14116.9    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129452 ])
63703   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63704   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63705   , -14139.4    , array([ 96.8247    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63706   , -14161.9    , array([ 96.7279    ,  0.00937818 ,  0.14193    ,  6.89658e-29,  0.00129323 ])
63707   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.142072   ,  6.89658e-29,  0.00129323 ])
63708   , -14139.4    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.90348e-29,  0.00129323 ])
63709   , -14116.9    , array([ 96.7279    ,  0.0093688  ,  0.14193    ,  6.89658e-29,  0.00129452 ])
63710   , -14129.2    , array([ 98.6085    ,  0.00941667 ,  0.143149   ,  6.89658e-29,  0.00130042 ])
63711   , -14129.2    , array([ 98.6085    ,  0.00941667 ,  0.143149   ,  6.89658e-29,  0.00130042 ])
63712   , -14129.2    , array([ 98.7072    ,  0.00941667 ,  0.143149   ,  6.89658e-29,  0.00130042 ])
63713   , -14151.7    , array([ 98.6085    ,  0.00942609 ,  0.143149   ,  6.89658e-29,  0.00130042 ])
63714   , -14129.2    , array([ 98.6085    ,  0.00941667 ,  0.143292   ,  6.89658e-29,  0.00130042 ])
63715   , -14129.2    , array([ 98.6085    ,  0.00941667 ,  0.143149   ,  6.90348e-29,  0.00130042 ])
63716   , -14106.7    , array([ 98.6085    ,  0.00941667 ,  0.143149   ,  6.89658e-29,  0.00130172 ])
63717   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63718   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63719   , -14122.5    , array([ 99.9696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63720   , -14145      , array([ 99.8696    ,  0.00945785 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63721   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.144103   ,  6.89658e-29,  0.00130519 ])
63722   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.90348e-29,  0.00130519 ])
63723   , -14100      , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130649 ])
63731   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63732   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63733   , -14122.5    , array([ 99.9696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63734   , -14145      , array([ 99.8696    ,  0.00945785 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63735   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.144103   ,  6.89658e-29,  0.00130519 ])
63736   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.90348e-29,  0.00130519 ])
63737   , -14100      , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130649 ])
63738   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63739   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63740   , -14122.5    , array([ 99.9696    ,  0.00944839 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63741   , -14145      , array([ 99.8696    ,  0.00945785 ,  0.143959   ,  6.89658e-29,  0.00130519 ])
63742   , -14122.5    , array([ 99.8696    ,  0.00944839 ,  0.144103   ,  6.89658e-29,  0.00130519 ])
