29257   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29258   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29259   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29260   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29261   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29269   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29270   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29271   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29272   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29273   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29274   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29275   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29283   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29284   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29285   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29286   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29287   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29288   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29289   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29297   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29298   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29299   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29300   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29301   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29302   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29303   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29311   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29312   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29313   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29314   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29315   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29316   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29317   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29325   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29326   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29327   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29328   , -3760.26    , array([ 0.832207   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29329   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29330   , -3759.18    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29331   , -3762.77    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29332   , -3748.84    , array([ 0.83292    ,  0.083048   ,  1.02091e-39,  9.96764    ,  0.102713   ])
29333   , -3748.84    , array([ 0.83292    ,  0.083048   ,  1.02091e-39,  9.96764    ,  0.102713   ])
