99611   , -1572.94    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  3.55328    ,  0.0575207  ])
99612   , -1511.31    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.55328    ,  0.0575207  ])
99613   , -1511.11    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.48713    ,  0.0575207  ])
99614   , -1511.1     , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0575207  ])
99615   , -1511.1     , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49421    ,  0.0575207  ])
99616   , -1511.1     , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.50073    ,  0.0575207  ])
99617   , -1511.1     , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0575207  ])
99618   , -6898.56    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  1.05752    ])
99620   , -1511.1     , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0575207  ])
99622   , -5816.36    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.439487   ])
99623   , -4970.57    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.248469   ])
99626   , -3412.47    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.130456   ])
99627   , -5590.91    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0230789  ])
99628   , -2210.29    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0853797  ])
99629   , -1637.64    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0443651  ])
99630   , -1502.14    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0566247  ])
99631   , -1486.64    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.053948   ])
99632   , -1499.22    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0502877  ])
99633   , -1485.76    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0532976  ])
99634   , -1485.73    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.053195   ])
99635   , -1485.73    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0531517  ])
99636   , -1485.73    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.053108   ])
99637   , -1412.45    , array([ 0.872086   ,  0.0860386  ,  4.06426    ,  4.82362    ,  0.0487827  ])
99638   , -1485.73    , array([ 0.7022     ,  0.0893223  ,  6.81724    ,  4.49747    ,  0.0531517  ])
99639   , -1412.45    , array([ 0.872086   ,  0.0860386  ,  4.06426    ,  4.82362    ,  0.0487827  ])
99641   , -1412.45    , array([ 0.872086   ,  0.0860386  ,  4.06426    ,  4.82362    ,  0.0487827  ])
99642   , -1518.46    , array([ 0.977081   ,  0.0840091  ,  2.36282    ,  5.02519    ,  0.0460826  ])
99643   , -1404.5     , array([ 0.807195   ,  0.0872929  ,  5.1158     ,  4.69904    ,  0.0504515  ])
99644   , -1402.26    , array([ 0.827895   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99645   , -1402.27    , array([ 0.826638   ,  0.0869171  ,  4.80074    ,  4.73636    ,  0.0499515  ])
99646   , -1402.27    , array([ 0.829152   ,  0.0868685  ,  4.76001    ,  4.74119    ,  0.0498869  ])
99647   , -1402.26    , array([ 0.827895   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99648   , -1602.57    , array([ 1.82789    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99650   , -1402.26    , array([ 0.827895   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99651   , -8479.59    , array([ 0.209861   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99652   , -1387.59    , array([ 1.20986    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99653   , -1356.52    , array([ 1.02056    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99654   , -1357.24    , array([ 1.03715    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99655   , -1356.41    , array([ 0.997559   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99656   , -1362.74    , array([ 0.932753   ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99657   , -1356.32    , array([ 1.00652    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99658   , -1356.32    , array([ 1.0083     ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99659   , -1356.32    , array([ 1.00473    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99660   , -1356.32    , array([ 1.00652    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99661   , -42802.7    , array([ 1.00652    ,  1.08689    ,  4.78037    ,  4.73878    ,  0.0499192  ])
99663   , -1356.32    , array([ 1.00652    ,  0.0868928  ,  4.78037    ,  4.73878    ,  0.0499192  ])
