85247   , -6995.03    , array([ 0.00361995 ,  0.00100118 ,  5.68837e-26,  0.0178007  ,  0.000324224])
85248   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.69406e-26,  0.0178007  ,  0.000324224])
85249   , -6992.92    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178185  ,  0.000324224])
85250   , -6998.58    , array([ 0.00361995 ,  0.00100018 ,  5.68837e-26,  0.0178007  ,  0.000324549])
85251   , -6992.72    , array([ 0.0036198  ,  0.00100005 ,  5.68837e-26,  0.0178007  ,  0.00032421 ])
85252   , -6992.72    , array([ 0.0036198  ,  0.00100005 ,  5.68837e-26,  0.0178007  ,  0.00032421 ])
85253   , -6984.93    , array([ 0.00362342 ,  0.00100005 ,  5.68837e-26,  0.0178007  ,  0.00032421 ])
85254   , -6994.83    , array([ 0.0036198  ,  0.00100105 ,  5.68837e-26,  0.0178007  ,  0.00032421 ])
85255   , -6992.72    , array([ 0.0036198  ,  0.00100005 ,  5.69406e-26,  0.0178007  ,  0.00032421 ])
85256   , -6992.72    , array([ 0.0036198  ,  0.00100005 ,  5.68837e-26,  0.0178185  ,  0.00032421 ])
85257   , -6998.38    , array([ 0.0036198  ,  0.00100005 ,  5.68837e-26,  0.0178007  ,  0.000324535])
85258   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85259   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85260   , -6984.86    , array([ 0.00362337 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85261   , -6994.76    , array([ 0.00361975 ,  0.001001   ,  5.68837e-26,  0.0178007  ,  0.000324206])
85262   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.69406e-26,  0.0178007  ,  0.000324206])
85263   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178185  ,  0.000324206])
85264   , -6998.31    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.00032453 ])
85268   , -6994.74    , array([ 0.00361973 ,  0.00100099 ,  5.68837e-26,  0.0178007  ,  0.000324204])
85272   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85273   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85274   , -6984.86    , array([ 0.00362337 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.000324206])
85275   , -6994.76    , array([ 0.00361975 ,  0.001001   ,  5.68837e-26,  0.0178007  ,  0.000324206])
85276   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.69406e-26,  0.0178007  ,  0.000324206])
85277   , -6992.65    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178185  ,  0.000324206])
85278   , -6998.31    , array([ 0.00361975 ,  0.001      ,  5.68837e-26,  0.0178007  ,  0.00032453 ])
85279   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85280   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85281   , -52115.8    , array([ 0.0272713  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85282   , -52118.1    , array([ 0.0272441  ,  0.671261   ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85283   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.69406e-26,  0.0172503  ,  0.00256984 ])
85284   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172676  ,  0.00256984 ])
85285   , -52113.5    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00257242 ])
85286   , -48539.4    , array([ 0.0167061  ,  0.138552   ,  5.68837e-26,  0.0173821  ,  0.00155618 ])
85287   , -48539.4    , array([ 0.0167061  ,  0.138552   ,  5.68837e-26,  0.0173821  ,  0.00155618 ])
85288   , -48538.1    , array([ 0.0167228  ,  0.138552   ,  5.68837e-26,  0.0173821  ,  0.00155618 ])
85289   , -48544.9    , array([ 0.0167061  ,  0.138691   ,  5.68837e-26,  0.0173821  ,  0.00155618 ])
85290   , -48539.4    , array([ 0.0167061  ,  0.138552   ,  5.69406e-26,  0.0173821  ,  0.00155618 ])
85291   , -48539.4    , array([ 0.0167061  ,  0.138552   ,  5.68837e-26,  0.0173995  ,  0.00155618 ])
85292   , -48534.7    , array([ 0.0167061  ,  0.138552   ,  5.68837e-26,  0.0173821  ,  0.00155774 ])
85293   , -22303.3    , array([ 0.00628178 ,  0.00591462 ,  5.68837e-26,  0.0176487  ,  0.000570648])
85294   , -22303.3    , array([ 0.00628178 ,  0.00591462 ,  5.68837e-26,  0.0176487  ,  0.000570648])
85295   , -22296.2    , array([ 0.00628806 ,  0.00591462 ,  5.68837e-26,  0.0176487  ,  0.000570648])
85296   , -22321.1    , array([ 0.00628178 ,  0.00592054 ,  5.68837e-26,  0.0176487  ,  0.000570648])
85297   , -22303.3    , array([ 0.00628178 ,  0.00591462 ,  5.69406e-26,  0.0176487  ,  0.000570648])
85298   , -22303.3    , array([ 0.00628178 ,  0.00591462 ,  5.68837e-26,  0.0176663  ,  0.000570648])
85299   , -22292.6    , array([ 0.00628178 ,  0.00591462 ,  5.68837e-26,  0.0176487  ,  0.000571219])
85302   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85303   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85304   , -7515.02    , array([ 0.00385585 ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85305   , -7528.5     , array([ 0.003852   ,  0.00122326 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85306   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.69406e-26,  0.0177835  ,  0.000345559])
85307   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0178013  ,  0.000345559])
85308   , -7525.57    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345904])
85311   , -6997.76    , array([ 0.00362357 ,  0.00100341 ,  5.68837e-26,  0.0178004  ,  0.000324557])
85312   , -6997.76    , array([ 0.00362357 ,  0.00100341 ,  5.68837e-26,  0.0178004  ,  0.000324557])
85313   , -6989.97    , array([ 0.00362719 ,  0.00100341 ,  5.68837e-26,  0.0178004  ,  0.000324557])
85314   , -6999.93    , array([ 0.00362357 ,  0.00100441 ,  5.68837e-26,  0.0178004  ,  0.000324557])
85315   , -6997.76    , array([ 0.00362357 ,  0.00100341 ,  5.69406e-26,  0.0178004  ,  0.000324557])
85316   , -6997.76    , array([ 0.00362357 ,  0.00100341 ,  5.68837e-26,  0.0178182  ,  0.000324557])
85317   , -7003.37    , array([ 0.00362357 ,  0.00100341 ,  5.68837e-26,  0.0178004  ,  0.000324882])
85323   , -6993.13    , array([ 0.00362011 ,  0.00100032 ,  5.68837e-26,  0.0178007  ,  0.000324239])
85324   , -6993.13    , array([ 0.00362011 ,  0.00100032 ,  5.68837e-26,  0.0178007  ,  0.000324239])
85325   , -6985.34    , array([ 0.00362373 ,  0.00100032 ,  5.68837e-26,  0.0178007  ,  0.000324239])
85326   , -6995.25    , array([ 0.00362011 ,  0.00100133 ,  5.68837e-26,  0.0178007  ,  0.000324239])
85327   , -6993.13    , array([ 0.00362011 ,  0.00100032 ,  5.69406e-26,  0.0178007  ,  0.000324239])
85328   , -6993.13    , array([ 0.00362011 ,  0.00100032 ,  5.68837e-26,  0.0178185  ,  0.000324239])
