206476  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.57598e-12,  8.54944    ,  0.011818   ])
206477  , -17646.1    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.558      ,  0.011818   ])
206478  , -17664.6    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54944    ,  0.0118298  ])
206479  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206480  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206481  , -17625.1    , array([ 0.0517709  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206482  , -17648      , array([ 0.0517192  ,  0.0255799  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206483  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.57598e-12,  8.54945    ,  0.011818   ])
206484  , -17646.1    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.558      ,  0.011818   ])
206485  , -17664.6    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.0118298  ])
206493  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206494  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206495  , -17625.1    , array([ 0.0517709  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206496  , -17648      , array([ 0.0517192  ,  0.0255799  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206497  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.57598e-12,  8.54945    ,  0.011818   ])
206498  , -17646.1    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.558      ,  0.011818   ])
206499  , -17664.6    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.0118298  ])
206500  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206501  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206502  , -17625.1    , array([ 0.0517709  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206503  , -17648      , array([ 0.0517192  ,  0.0255799  ,  1.5744e-12 ,  8.54945    ,  0.011818   ])
206504  , -17646.7    , array([ 0.0517192  ,  0.0255543  ,  1.57598e-12,  8.54945    ,  0.011818   ])
206505  , -17646.1    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.558      ,  0.011818   ])
206506  , -17664.6    , array([ 0.0517192  ,  0.0255543  ,  1.5744e-12 ,  8.54945    ,  0.0118298  ])
206507  , -17547.6    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
206508  , -17547.6    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
206509  , -17526.1    , array([ 0.0516258  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
206510  , -17549.2    , array([ 0.0515742  ,  0.025186   ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
206511  , -17547.6    , array([ 0.0515742  ,  0.0251608  ,  1.57598e-12,  9.60638    ,  0.0117717  ])
206512  , -17547.1    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.61599    ,  0.0117717  ])
206513  , -17565.3    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117835  ])
206514  , -17547.6    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
206515  , -17547.6    , array([ 0.0515742  ,  0.0251608  ,  1.5744e-12 ,  9.60638    ,  0.0117717  ])
