89794   , -2879.2     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.196916   ,  0.161138   ])
89796   , -2788.74    , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.578882   ,  0.161138   ])
89797   , -2803.92    , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.387899   ,  0.161138   ])
89798   , -2787.52    , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.531598   ,  0.161138   ])
89799   , -2787.5     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.537621   ,  0.161138   ])
89800   , -2787.52    , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.541028   ,  0.161138   ])
89801   , -2787.5     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.537621   ,  0.161138   ])
89802   , -2881.68    , array([ 1.60167    ,  0.25614    ,  4.44546    ,  0.561495   ,  0.159839   ])
89803   , -2966.77    , array([ 1.25179    ,  0.318148   ,  3.96674    ,  0.498993   ,  0.163241   ])
89804   , -2787.5     , array([ 1.46803    ,  0.279825   ,  4.2626     ,  0.537621   ,  0.161138   ])
89805   , -2810.05    , array([ 1.38543    ,  0.294463   ,  4.14959    ,  0.522866   ,  0.161941   ])
89806   , -2803.27    , array([ 1.51907    ,  0.270778   ,  4.33245    ,  0.54674    ,  0.160642   ])
89807   , -2787.14    , array([ 1.45808    ,  0.281588   ,  4.24899    ,  0.535844   ,  0.161235   ])
89808   , -2787.14    , array([ 1.45894    ,  0.281435   ,  4.25017    ,  0.535998   ,  0.161227   ])
89809   , -2787.14    , array([ 1.45884    ,  0.281453   ,  4.25003    ,  0.53598    ,  0.161228   ])
89810   , -2787.14    , array([ 1.45875    ,  0.281469   ,  4.24991    ,  0.535964   ,  0.161229   ])
89811   , -2624.02    , array([ 1.58329    ,  0.220063   ,  4.37353    ,  0.898919   ,  0.147098   ])
89812   , -2787.14    , array([ 1.45884    ,  0.281453   ,  4.25003    ,  0.53598    ,  0.161228   ])
89813   , -2624.02    , array([ 1.58329    ,  0.220063   ,  4.37353    ,  0.898919   ,  0.147098   ])
89814   , -5722.83    , array([ 1.78467    ,  0.120731   ,  4.57335    ,  1.48617    ,  0.124236   ])
