167301  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167302  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167303  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167304  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167305  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167306  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167307  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167308  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167309  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167310  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167311  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167312  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167313  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167314  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167315  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167316  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167317  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167318  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167319  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167320  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167321  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167322  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167323  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167324  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167325  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167326  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167327  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167328  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167329  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167330  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167331  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167332  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167333  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167334  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167335  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167336  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167337  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167338  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167339  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167340  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167341  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167342  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167343  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167344  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167345  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167346  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167347  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167348  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167349  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167350  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167351  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167352  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167353  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167354  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167355  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167356  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167357  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
