117633  , -1632.54    , array([ 1.43731    ,  0.067636   ,  2.4955e-48 ,  6.21175e-09,  0.0242471  ])
117634  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117635  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117636  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117637  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117638  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117639  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117640  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117641  , -1632.54    , array([ 1.43651    ,  0.0676507  ,  2.4955e-48 ,  6.21175e-09,  0.0242263  ])
117642  , -1632.54    , array([ 1.43651    ,  0.0676507  ,  2.4955e-48 ,  6.21175e-09,  0.0242263  ])
117643  , -1632.54    , array([ 1.43795    ,  0.0676507  ,  2.4955e-48 ,  6.21175e-09,  0.0242263  ])
117644  , -1632.54    , array([ 1.43651    ,  0.0677183  ,  2.4955e-48 ,  6.21175e-09,  0.0242263  ])
117645  , -1632.54    , array([ 1.43651    ,  0.0676507  ,  2.49799e-48,  6.21175e-09,  0.0242263  ])
117646  , -1632.54    , array([ 1.43651    ,  0.0676507  ,  2.4955e-48 ,  6.21796e-09,  0.0242263  ])
117647  , -1632.54    , array([ 1.43651    ,  0.0676507  ,  2.4955e-48 ,  6.21175e-09,  0.0242505  ])
117648  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117649  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117650  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117651  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117652  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117653  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117654  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117655  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117656  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117657  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117658  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117659  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117660  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117661  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117662  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117663  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117664  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117665  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117666  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117667  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117668  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117669  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117670  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117671  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117672  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117673  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117674  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117675  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117676  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117677  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117678  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117679  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117680  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117681  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117682  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117683  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117684  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117685  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117686  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117687  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117688  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117689  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117690  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117691  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117692  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117693  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117694  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117695  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117696  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117697  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117698  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117699  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117700  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117701  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117702  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117703  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117704  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117705  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117706  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117707  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117708  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117709  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117710  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117711  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117712  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117713  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117714  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117715  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117716  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117717  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117718  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117719  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117720  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117721  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117722  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
