468     , -2336.8     , array([ 0.0546609  ,  0.0161939  ,  1.4515e-46 ,  4.03082e-10])
469     , -2336.8     , array([ 0.0546609  ,  0.0161777  ,  1.45296e-46,  4.03082e-10])
470     , -2336.8     , array([ 0.0546609  ,  0.0161777  ,  1.4515e-46 ,  4.03486e-10])
471     , -2336.8     , array([ 0.0546609  ,  0.0160562  ,  1.4515e-46 ,  4.06087e-10])
472     , -2336.8     , array([ 0.0546609  ,  0.0160562  ,  1.4515e-46 ,  4.06087e-10])
473     , -2336.8     , array([ 0.0547155  ,  0.0160562  ,  1.4515e-46 ,  4.06087e-10])
474     , -2336.8     , array([ 0.0546609  ,  0.0160723  ,  1.4515e-46 ,  4.06087e-10])
475     , -2336.8     , array([ 0.0546609  ,  0.0160562  ,  1.45296e-46,  4.06087e-10])
476     , -2336.8     , array([ 0.0546609  ,  0.0160562  ,  1.4515e-46 ,  4.06493e-10])
477     , -2336.8     , array([ 0.0546609  ,  0.0158158  ,  1.4515e-46 ,  4.12164e-10])
478     , -2336.8     , array([ 0.0546609  ,  0.0158158  ,  1.4515e-46 ,  4.12164e-10])
479     , -2336.8     , array([ 0.0547155  ,  0.0158158  ,  1.4515e-46 ,  4.12164e-10])
480     , -2336.8     , array([ 0.0546609  ,  0.0158317  ,  1.4515e-46 ,  4.12164e-10])
481     , -2336.8     , array([ 0.0546609  ,  0.0158158  ,  1.45296e-46,  4.12164e-10])
482     , -2336.8     , array([ 0.0546609  ,  0.0158158  ,  1.4515e-46 ,  4.12576e-10])
483     , -2336.8     , array([ 0.0546609  ,  0.0153459  ,  1.4515e-46 ,  4.24591e-10])
484     , -2336.8     , array([ 0.0546609  ,  0.0153459  ,  1.4515e-46 ,  4.24591e-10])
485     , -2336.8     , array([ 0.0547155  ,  0.0153459  ,  1.4515e-46 ,  4.24591e-10])
486     , -2336.8     , array([ 0.0546609  ,  0.0153612  ,  1.4515e-46 ,  4.24591e-10])
487     , -2336.8     , array([ 0.0546609  ,  0.0153459  ,  1.45296e-46,  4.24591e-10])
488     , -2336.8     , array([ 0.0546609  ,  0.0153459  ,  1.4515e-46 ,  4.25016e-10])
489     , -2336.8     , array([ 0.0546609  ,  0.0144474  ,  1.4515e-46 ,  4.50581e-10])
490     , -2336.8     , array([ 0.0546609  ,  0.0144474  ,  1.4515e-46 ,  4.50581e-10])
491     , -2336.8     , array([ 0.0547155  ,  0.0144474  ,  1.4515e-46 ,  4.50581e-10])
492     , -2336.8     , array([ 0.0546609  ,  0.0144619  ,  1.4515e-46 ,  4.50581e-10])
493     , -2336.8     , array([ 0.0546609  ,  0.0144474  ,  1.45296e-46,  4.50581e-10])
494     , -2336.8     , array([ 0.0546609  ,  0.0144474  ,  1.4515e-46 ,  4.51032e-10])
495     , -2336.8     , array([ 0.0546609  ,  0.0128052  ,  1.4515e-46 ,  5.07431e-10])
496     , -2336.8     , array([ 0.0546609  ,  0.0128052  ,  1.4515e-46 ,  5.07431e-10])
497     , -2336.8     , array([ 0.0547155  ,  0.0128052  ,  1.4515e-46 ,  5.07431e-10])
498     , -2336.8     , array([ 0.0546609  ,  0.012818   ,  1.4515e-46 ,  5.07431e-10])
499     , -2336.8     , array([ 0.0546609  ,  0.0128052  ,  1.45296e-46,  5.07431e-10])
500     , -2336.8     , array([ 0.0546609  ,  0.0128052  ,  1.4515e-46 ,  5.07939e-10])
501     , -2336.8     , array([ 0.0546609  ,  0.0100596  ,  1.4515e-46 ,  6.43556e-10])
502     , -2336.8     , array([ 0.0546609  ,  0.0100596  ,  1.4515e-46 ,  6.43556e-10])
503     , -2336.8     , array([ 0.0547155  ,  0.0100596  ,  1.4515e-46 ,  6.43556e-10])
504     , -2336.8     , array([ 0.0546609  ,  0.0100697  ,  1.4515e-46 ,  6.43556e-10])
505     , -2336.8     , array([ 0.0546609  ,  0.0100596  ,  1.45296e-46,  6.43556e-10])
506     , -2336.8     , array([ 0.0546609  ,  0.0100596  ,  1.4515e-46 ,  6.442e-10  ])
507     , -2336.8     , array([ 0.0546609  ,  0.0219798  ,  1.4515e-46 ,  2.98068e-10])
508     , -2336.8     , array([ 0.0546609  ,  0.0148697  ,  1.4515e-46 ,  4.37976e-10])
509     , -2336.8     , array([ 0.0546609  ,  0.0122304  ,  1.4515e-46 ,  5.30907e-10])
510     , -2336.8     , array([ 0.0546609  ,  0.011092   ,  1.4515e-46 ,  5.84524e-10])
511     , -2336.8     , array([ 0.0546609  ,  0.0105632  ,  1.4515e-46 ,  6.1333e-10 ])
512     , -2336.8     , array([ 0.0546609  ,  0.0103083  ,  1.4515e-46 ,  6.28261e-10])
513     , -2336.8     , array([ 0.0546609  ,  0.0101832  ,  1.4515e-46 ,  6.35862e-10])
514     , -2336.8     , array([ 0.0546609  ,  0.0101212  ,  1.4515e-46 ,  6.39698e-10])
515     , -2336.8     , array([ 0.0546609  ,  0.0100904  ,  1.4515e-46 ,  6.41624e-10])
516     , -2336.8     , array([ 0.0546609  ,  0.010075   ,  1.4515e-46 ,  6.42589e-10])
517     , -2336.8     , array([ 0.0546609  ,  0.0100673  ,  1.4515e-46 ,  6.43072e-10])
518     , -2336.8     , array([ 0.0546609  ,  0.0100634  ,  1.4515e-46 ,  6.43314e-10])
