86867   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86868   , -68803.2    , array([ 0.816648   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86869   , -68796.3    , array([ 0.815832   ,  14.2818    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86870   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29889e-19,  9.20288    ,  0.0135298  ])
86871   , -68797      , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.21209    ,  0.0135298  ])
86872   , -68788.3    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135434  ])
86873   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86874   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86875   , -68803.2    , array([ 0.816648   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86876   , -68796.3    , array([ 0.815832   ,  14.2818    ,  3.29559e-19,  9.20288    ,  0.0135298  ])
86877   , -68795.5    , array([ 0.815832   ,  14.2675    ,  3.29889e-19,  9.20288    ,  0.0135298  ])
86878   , -68797      , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.21209    ,  0.0135298  ])
86879   , -68788.3    , array([ 0.815832   ,  14.2675    ,  3.29559e-19,  9.20288    ,  0.0135434  ])
86880   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86881   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86882   , -68738      , array([ 0.773842   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86883   , -68731.1    , array([ 0.773069   ,  13.1872    ,  3.29559e-19,  9.70747    ,  0.012916   ])
86884   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29889e-19,  9.70747    ,  0.012916   ])
86885   , -68731.8    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.71718    ,  0.012916   ])
86886   , -68723.1    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.0129289  ])
86894   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86895   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86896   , -68738      , array([ 0.773842   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86897   , -68731.1    , array([ 0.773069   ,  13.1872    ,  3.29559e-19,  9.70747    ,  0.012916   ])
86898   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29889e-19,  9.70747    ,  0.012916   ])
86899   , -68731.8    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.71718    ,  0.012916   ])
86900   , -68723.1    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.0129289  ])
86901   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86902   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86903   , -68738      , array([ 0.773842   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.012916   ])
86904   , -68731.1    , array([ 0.773069   ,  13.1872    ,  3.29559e-19,  9.70747    ,  0.012916   ])
86905   , -68730.3    , array([ 0.773069   ,  13.174     ,  3.29889e-19,  9.70747    ,  0.012916   ])
86906   , -68731.8    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.71718    ,  0.012916   ])
86907   , -68723.1    , array([ 0.773069   ,  13.174     ,  3.29559e-19,  9.70747    ,  0.0129289  ])
86908   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86909   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86910   , -68716.6    , array([ 0.760214   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86911   , -68709.8    , array([ 0.759455   ,  12.8447    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86912   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29889e-19,  9.87998    ,  0.0127196  ])
86913   , -68710.5    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.88987    ,  0.0127196  ])
86914   , -68701.7    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127323  ])
86915   , -68694.8    , array([ 0.750601   ,  12.6109    ,  3.29559e-19,  9.99552    ,  0.0125916  ])
