57169   , -2408.77    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26797    ,  4.99896    ])
57170   , -2408.77    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26376    ,  4.99896    ])
57171   , -2408.77    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99896    ])
57173   , -2556.34    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  3.38093    ])
57174   , -2408.77    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99896    ])
57175   , -2443.32    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.38093    ])
57177   , -2423.91    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.68995    ])
57179   , -2414.12    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.88093    ])
57181   , -2410.75    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.95388    ])
57183   , -2409.52    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.98174    ])
57185   , -2409.05    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99239    ])
57187   , -2408.88    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99645    ])
57189   , -2408.81    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.998      ])
57190   , -2408.75    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99942    ])
57191   , -2408.74    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.9997     ])
57192   , -2408.73    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99987    ])
57193   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99998    ])
57195   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99994    ])
57197   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99996    ])
57198   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57200   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57201   , -2706.89    , array([ 2.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57202   , -169278     , array([ 0.0171116  ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57203   , -2408.72    , array([ 1.63515    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57204   , -3732.15    , array([ 1.01711    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57205   , -2369.9     , array([ 2.01711    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57206   , -2351.13    , array([ 1.85104    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57207   , -2351.01    , array([ 1.87723    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57208   , -2350.9     , array([ 1.86677    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57209   , -2350.91    , array([ 1.86445    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57210   , -2350.91    , array([ 1.86908    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57211   , -2350.9     , array([ 1.86677    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57212   , -26698.7    , array([ 1.86677    ,  1.24577    ,  1.64825    ,  3.26587    ,  4.99999    ])
57214   , -2350.9     , array([ 1.86677    ,  0.245775   ,  1.64825    ,  3.26587    ,  4.99999    ])
57216   , -11854      , array([ 1.86677    ,  0.627741   ,  1.64825    ,  3.26587    ,  4.99999    ])
57217   , -6220.62    , array([ 1.86677    ,  0.436681   ,  1.64825    ,  3.26587    ,  4.99999    ])
57219   , -4278       , array([ 1.86677    ,  0.155605   ,  1.64825    ,  3.26587    ,  4.99999    ])
57220   , -2541.64    , array([ 1.86677    ,  0.272818   ,  1.64825    ,  3.26587    ,  4.99999    ])
57221   , -2348.17    , array([ 1.86677    ,  0.244754   ,  1.64825    ,  3.26587    ,  4.99999    ])
57222   , -2339.84    , array([ 1.86677    ,  0.236689   ,  1.64825    ,  3.26587    ,  4.99999    ])
57223   , -2568.65    , array([ 1.86677    ,  0.205718   ,  1.64825    ,  3.26587    ,  4.99999    ])
57224   , -2339.54    , array([ 1.86677    ,  0.237863   ,  1.64825    ,  3.26587    ,  4.99999    ])
57225   , -2339.54    , array([ 1.86677    ,  0.237957   ,  1.64825    ,  3.26587    ,  4.99999    ])
57226   , -2339.54    , array([ 1.86677    ,  0.238035   ,  1.64825    ,  3.26587    ,  4.99999    ])
57227   , -2339.54    , array([ 1.86677    ,  0.237957   ,  1.64825    ,  3.26587    ,  4.99999    ])
57228   , -3446.53    , array([ 1.86677    ,  0.237957   ,  2.64825    ,  3.26587    ,  4.99999    ])
57229   , -7188.85    , array([ 1.86677    ,  0.237957   ,  0.0302134  ,  3.26587    ,  4.99999    ])
57230   , -2339.54    , array([ 1.86677    ,  0.237957   ,  1.64825    ,  3.26587    ,  4.99999    ])
57231   , -2558.22    , array([ 1.86677    ,  0.237957   ,  1.03021    ,  3.26587    ,  4.99999    ])
57232   , -2602.15    , array([ 1.86677    ,  0.237957   ,  2.03021    ,  3.26587    ,  4.99999    ])
57233   , -2310.69    , array([ 1.86677    ,  0.237957   ,  1.50912    ,  3.26587    ,  4.99999    ])
57234   , -2309.9     , array([ 1.86677    ,  0.237957   ,  1.49021    ,  3.26587    ,  4.99999    ])
57235   , -2309.8     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.26587    ,  4.99999    ])
57236   , -2309.8     , array([ 1.86677    ,  0.237957   ,  1.48129    ,  3.26587    ,  4.99999    ])
57237   , -2309.8     , array([ 1.86677    ,  0.237957   ,  1.47792    ,  3.26587    ,  4.99999    ])
57238   , -2309.8     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.26587    ,  4.99999    ])
57239   , -2657.04    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  4.26587    ,  4.99999    ])
57240   , -6406.31    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  1.64783    ,  4.99999    ])
57241   , -2309.8     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.26587    ,  4.99999    ])
57242   , -2827.43    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  2.64783    ,  4.99999    ])
57243   , -2316.16    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.64783    ,  4.99999    ])
57244   , -2288.65    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.4471     ,  4.99999    ])
57245   , -2288.62    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.44431    ,  4.99999    ])
57246   , -2288.6     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99999    ])
57247   , -2288.61    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43772    ,  4.99999    ])
57248   , -2288.61    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.44119    ,  4.99999    ])
57249   , -2288.6     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99999    ])
57251   , -2511.8     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  3.38195    ])
57252   , -2288.6     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99999    ])
57253   , -2340.89    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.38195    ])
57255   , -2311.49    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.69097    ])
57257   , -2296.69    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.88195    ])
57259   , -2291.6     , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.9549     ])
57261   , -2289.74    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.98277    ])
57263   , -2289.04    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99341    ])
57265   , -2288.77    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99747    ])
57267   , -2288.67    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99903    ])
57269   , -2288.63    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99962    ])
57271   , -2288.61    , array([ 1.86677    ,  0.237957   ,  1.4796     ,  3.43946    ,  4.99985    ])
