48543   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48544   , -2618.94    , array([ 2.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48546   , -2275.39    , array([ 1.37971    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48547   , -4079.26    , array([ 0.761681   ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48548   , -2242.61    , array([ 1.76168    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48549   , -2216.15    , array([ 1.58585    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48550   , -2216.27    , array([ 1.60813    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48551   , -2216.07    , array([ 1.59425    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48552   , -2216.08    , array([ 1.5964     ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48553   , -2216.08    , array([ 1.59211    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48554   , -2216.07    , array([ 1.59425    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48555   , -30851.4    , array([ 1.59425    ,  1.18916    ,  1.97798    ,  4.28694    ,  4.99999    ])
48557   , -2216.07    , array([ 1.59425    ,  0.189162   ,  1.97798    ,  4.28694    ,  4.99999    ])
48559   , -14557.7    , array([ 1.59425    ,  0.571128   ,  1.97798    ,  4.28694    ,  4.99999    ])
48560   , -7527.43    , array([ 1.59425    ,  0.380046   ,  1.97798    ,  4.28694    ,  4.99999    ])
48562   , -6354.35    , array([ 1.59425    ,  0.0989926  ,  1.97798    ,  4.28694    ,  4.99999    ])
48563   , -2742.82    , array([ 1.59425    ,  0.231563   ,  1.97798    ,  4.28694    ,  4.99999    ])
48564   , -2247.07    , array([ 1.59425    ,  0.196242   ,  1.97798    ,  4.28694    ,  4.99999    ])
48565   , -2212.78    , array([ 1.59425    ,  0.183089   ,  1.97798    ,  4.28694    ,  4.99999    ])
48566   , -2211.34    , array([ 1.59425    ,  0.185198   ,  1.97798    ,  4.28694    ,  4.99999    ])
48567   , -2211.34    , array([ 1.59425    ,  0.185251   ,  1.97798    ,  4.28694    ,  4.99999    ])
48568   , -2211.34    , array([ 1.59425    ,  0.185291   ,  1.97798    ,  4.28694    ,  4.99999    ])
48569   , -2211.34    , array([ 1.59425    ,  0.185251   ,  1.97798    ,  4.28694    ,  4.99999    ])
48570   , -3045.52    , array([ 1.59425    ,  0.185251   ,  2.97798    ,  4.28694    ,  4.99999    ])
48571   , -4235.48    , array([ 1.59425    ,  0.185251   ,  0.359946   ,  4.28694    ,  4.99999    ])
48572   , -2211.34    , array([ 1.59425    ,  0.185251   ,  1.97798    ,  4.28694    ,  4.99999    ])
48573   , -2295.88    , array([ 1.59425    ,  0.185251   ,  1.35995    ,  4.28694    ,  4.99999    ])
48574   , -2413.91    , array([ 1.59425    ,  0.185251   ,  2.35995    ,  4.28694    ,  4.99999    ])
48575   , -2177.47    , array([ 1.59425    ,  0.185251   ,  1.77148    ,  4.28694    ,  4.99999    ])
48576   , -2177.32    , array([ 1.59425    ,  0.185251   ,  1.76254    ,  4.28694    ,  4.99999    ])
48577   , -2177.29    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.28694    ,  4.99999    ])
48578   , -2177.29    , array([ 1.59425    ,  0.185251   ,  1.7574     ,  4.28694    ,  4.99999    ])
48579   , -2177.29    , array([ 1.59425    ,  0.185251   ,  1.75295    ,  4.28694    ,  4.99999    ])
48580   , -2177.29    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.28694    ,  4.99999    ])
48581   , -2398.96    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  5.28694    ,  4.99999    ])
48582   , -4246.88    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  2.6689     ,  4.99999    ])
48583   , -2177.29    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.28694    ,  4.99999    ])
48584   , -2468.97    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  3.6689     ,  4.99999    ])
48585   , -2182.33    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.6689     ,  4.99999    ])
