310403  , -1869.04    , array([ 1.4316     ,  0.0934446  ,  4.93101e-28,  1.9186     ,  0.0323115  ])
310404  , -1872.83    , array([ 1.43016    ,  0.0935381  ,  4.93101e-28,  1.9186     ,  0.0323115  ])
310405  , -1869.06    , array([ 1.43016    ,  0.0934446  ,  4.93594e-28,  1.9186     ,  0.0323115  ])
310406  , -1869.36    , array([ 1.43016    ,  0.0934446  ,  4.93101e-28,  1.92052    ,  0.0323115  ])
310407  , -1866.06    , array([ 1.43016    ,  0.0934446  ,  4.93101e-28,  1.9186     ,  0.0323438  ])
310408  , -1839.11    , array([ 1.97552    ,  0.0871477  ,  4.93101e-28,  1.72552    ,  0.0300285  ])
310409  , -1839.11    , array([ 1.97552    ,  0.0871477  ,  4.93101e-28,  1.72552    ,  0.0300285  ])
310410  , -1839.28    , array([ 1.9775     ,  0.0871477  ,  4.93101e-28,  1.72552    ,  0.0300285  ])
310411  , -1842.71    , array([ 1.97552    ,  0.0872349  ,  4.93101e-28,  1.72552    ,  0.0300285  ])
310412  , -1839.11    , array([ 1.97552    ,  0.0871477  ,  4.93594e-28,  1.72552    ,  0.0300285  ])
310413  , -1839.34    , array([ 1.97552    ,  0.0871477  ,  4.93101e-28,  1.72725    ,  0.0300285  ])
310414  , -1836.07    , array([ 1.97552    ,  0.0871477  ,  4.93101e-28,  1.72552    ,  0.0300586  ])
310415  , -4404.61    , array([ 0.458409   ,  0.118151   ,  4.93101e-28,  1.6155     ,  0.0419211  ])
310416  , -4404.61    , array([ 0.458409   ,  0.118151   ,  4.93101e-28,  1.6155     ,  0.0419211  ])
310417  , -4398.98    , array([ 0.458868   ,  0.118151   ,  4.93101e-28,  1.6155     ,  0.0419211  ])
310418  , -4407.84    , array([ 0.458409   ,  0.11827    ,  4.93101e-28,  1.6155     ,  0.0419211  ])
310419  , -4404.61    , array([ 0.458409   ,  0.118151   ,  4.93594e-28,  1.6155     ,  0.0419211  ])
310420  , -4404.71    , array([ 0.458409   ,  0.118151   ,  4.93101e-28,  1.61711    ,  0.0419211  ])
310421  , -4406.53    , array([ 0.458409   ,  0.118151   ,  4.93101e-28,  1.6155     ,  0.0419631  ])
310422  , -1822.49    , array([ 1.54006    ,  0.0917885  ,  4.93101e-28,  1.70625    ,  0.0317858  ])
310423  , -1822.49    , array([ 1.54006    ,  0.0917885  ,  4.93101e-28,  1.70625    ,  0.0317858  ])
310424  , -1822.53    , array([ 1.5416     ,  0.0917885  ,  4.93101e-28,  1.70625    ,  0.0317858  ])
310425  , -1825.96    , array([ 1.54006    ,  0.0918803  ,  4.93101e-28,  1.70625    ,  0.0317858  ])
310426  , -1822.49    , array([ 1.54006    ,  0.0917885  ,  4.93594e-28,  1.70625    ,  0.0317858  ])
310427  , -1822.72    , array([ 1.54006    ,  0.0917885  ,  4.93101e-28,  1.70796    ,  0.0317858  ])
310428  , -1819.69    , array([ 1.54006    ,  0.0917885  ,  4.93101e-28,  1.70625    ,  0.0318176  ])
310429  , -1790.44    , array([ 1.55388    ,  0.0904058  ,  4.93101e-28,  1.77223    ,  0.0316734  ])
310430  , -1790.44    , array([ 1.55388    ,  0.0904058  ,  4.93101e-28,  1.77223    ,  0.0316734  ])
310431  , -1790.48    , array([ 1.55544    ,  0.0904058  ,  4.93101e-28,  1.77223    ,  0.0316734  ])
310432  , -1793.66    , array([ 1.55388    ,  0.0904963  ,  4.93101e-28,  1.77223    ,  0.0316734  ])
310433  , -1790.44    , array([ 1.55388    ,  0.0904058  ,  4.93594e-28,  1.77223    ,  0.0316734  ])
310434  , -1790.66    , array([ 1.55388    ,  0.0904058  ,  4.93101e-28,  1.774      ,  0.0316734  ])
310435  , -1787.84    , array([ 1.55388    ,  0.0904058  ,  4.93101e-28,  1.77223    ,  0.0317051  ])
310436  , -1686.79    , array([ 1.61043    ,  0.0850804  ,  4.93101e-28,  2.06267    ,  0.0312276  ])
310437  , -1686.79    , array([ 1.61043    ,  0.0850804  ,  4.93101e-28,  2.06267    ,  0.0312276  ])
310438  , -1686.85    , array([ 1.61204    ,  0.0850804  ,  4.93101e-28,  2.06267    ,  0.0312276  ])
310439  , -1689.08    , array([ 1.61043    ,  0.0851655  ,  4.93101e-28,  2.06267    ,  0.0312276  ])
310440  , -1686.79    , array([ 1.61043    ,  0.0850804  ,  4.93594e-28,  2.06267    ,  0.0312276  ])
310441  , -1686.97    , array([ 1.61043    ,  0.0850804  ,  4.93101e-28,  2.06473    ,  0.0312276  ])
310442  , -1685.04    , array([ 1.61043    ,  0.0850804  ,  4.93101e-28,  2.06267    ,  0.0312588  ])
310443  , -1561.06    , array([ 1.5039     ,  0.0664788  ,  4.93101e-28,  2.89579    ,  0.0267389  ])
310444  , -1561.06    , array([ 1.5039     ,  0.0664788  ,  4.93101e-28,  2.89579    ,  0.0267389  ])
310445  , -1561.08    , array([ 1.50541    ,  0.0664788  ,  4.93101e-28,  2.89579    ,  0.0267389  ])
310446  , -1561.21    , array([ 1.5039     ,  0.0665453  ,  4.93101e-28,  2.89579    ,  0.0267389  ])
310447  , -1561.06    , array([ 1.5039     ,  0.0664788  ,  4.93594e-28,  2.89579    ,  0.0267389  ])
310448  , -1561.05    , array([ 1.5039     ,  0.0664788  ,  4.93101e-28,  2.89869    ,  0.0267389  ])
310449  , -1561       , array([ 1.5039     ,  0.0664788  ,  4.93101e-28,  2.89579    ,  0.0267656  ])
310450  , -1557.63    , array([ 1.4163     ,  0.0593419  ,  4.93101e-28,  4.06987    ,  0.0244088  ])
310451  , -1557.63    , array([ 1.4163     ,  0.0593419  ,  4.93101e-28,  4.06987    ,  0.0244088  ])
310452  , -1557.63    , array([ 1.41772    ,  0.0593419  ,  4.93101e-28,  4.06987    ,  0.0244088  ])
310453  , -1557.95    , array([ 1.4163     ,  0.0594013  ,  4.93101e-28,  4.06987    ,  0.0244088  ])
310454  , -1557.63    , array([ 1.4163     ,  0.0593419  ,  4.93594e-28,  4.06987    ,  0.0244088  ])
310455  , -1557.67    , array([ 1.4163     ,  0.0593419  ,  4.93101e-28,  4.07394    ,  0.0244088  ])
310456  , -1557.33    , array([ 1.4163     ,  0.0593419  ,  4.93101e-28,  4.06987    ,  0.0244332  ])
310457  , -1555.85    , array([ 1.4224     ,  0.0592187  ,  4.93101e-28,  3.93962    ,  0.0245844  ])
310458  , -1555.85    , array([ 1.4224     ,  0.0592187  ,  4.93101e-28,  3.93962    ,  0.0245844  ])
310459  , -1555.84    , array([ 1.42383    ,  0.0592187  ,  4.93101e-28,  3.93962    ,  0.0245844  ])
310460  , -1555.81    , array([ 1.4224     ,  0.059278   ,  4.93101e-28,  3.93962    ,  0.0245844  ])
310461  , -1555.85    , array([ 1.4224     ,  0.0592187  ,  4.93594e-28,  3.93962    ,  0.0245844  ])
