149205  , -3470.52    , array([ 12.1558    ,  0.0986309  ,  5.29545e-39,  8.22203    ,  0.0605731  ])
149206  , -3470.52    , array([ 12.1558    ,  0.0986309  ,  5.29545e-39,  8.22203    ,  0.0605731  ])
149207  , -3470.88    , array([ 12.168     ,  0.0986309  ,  5.29545e-39,  8.22203    ,  0.0605731  ])
149208  , -3473.69    , array([ 12.1558    ,  0.0987296  ,  5.29545e-39,  8.22203    ,  0.0605731  ])
149209  , -3470.52    , array([ 12.1558    ,  0.0986309  ,  5.30075e-39,  8.22203    ,  0.0605731  ])
149210  , -3472.5     , array([ 12.1558    ,  0.0986309  ,  5.29545e-39,  8.23026    ,  0.0605731  ])
149211  , -3472.29    , array([ 12.1558    ,  0.0986309  ,  5.29545e-39,  8.22203    ,  0.0606337  ])
149219  , -3470.52    , array([ 12.1558    ,  0.0986308  ,  5.29545e-39,  8.22203    ,  0.060573   ])
149220  , -3470.52    , array([ 12.1558    ,  0.0986308  ,  5.29545e-39,  8.22203    ,  0.060573   ])
149221  , -3470.88    , array([ 12.168     ,  0.0986308  ,  5.29545e-39,  8.22203    ,  0.060573   ])
149222  , -3473.68    , array([ 12.1558    ,  0.0987295  ,  5.29545e-39,  8.22203    ,  0.060573   ])
149223  , -3470.52    , array([ 12.1558    ,  0.0986308  ,  5.30075e-39,  8.22203    ,  0.060573   ])
149224  , -3472.5     , array([ 12.1558    ,  0.0986308  ,  5.29545e-39,  8.23026    ,  0.060573   ])
149225  , -3472.28    , array([ 12.1558    ,  0.0986308  ,  5.29545e-39,  8.22203    ,  0.0606336  ])
149226  , -2963.67    , array([ 20.8587    ,  0.0805437  ,  5.29545e-39,  9.43188    ,  0.0494876  ])
149227  , -2963.67    , array([ 20.8587    ,  0.0805437  ,  5.29545e-39,  9.43188    ,  0.0494876  ])
149228  , -2963.83    , array([ 20.8796    ,  0.0805437  ,  5.29545e-39,  9.43188    ,  0.0494876  ])
149229  , -2965.89    , array([ 20.8587    ,  0.0806243  ,  5.29545e-39,  9.43188    ,  0.0494876  ])
149230  , -2963.67    , array([ 20.8587    ,  0.0805437  ,  5.30075e-39,  9.43188    ,  0.0494876  ])
149231  , -2965.15    , array([ 20.8587    ,  0.0805437  ,  5.29545e-39,  9.44132    ,  0.0494876  ])
149232  , -2965.22    , array([ 20.8587    ,  0.0805437  ,  5.29545e-39,  9.43188    ,  0.0495371  ])
149240  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149241  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149242  , -2963.83    , array([ 20.8797    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149243  , -2965.89    , array([ 20.8588    ,  0.0806242  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149244  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.30075e-39,  9.43189    ,  0.0494875  ])
149245  , -2965.15    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.44132    ,  0.0494875  ])
149246  , -2965.22    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.049537   ])
149254  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149255  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149256  , -2963.83    , array([ 20.8797    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149257  , -2965.89    , array([ 20.8588    ,  0.0806242  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149258  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.30075e-39,  9.43189    ,  0.0494875  ])
