3298    , -101.642    , array([ 0.163092   ,  3.78756    ,  0.121594   ,  0.021504   ])
3299    , -101.659    , array([ 0.162929   ,  3.79135    ,  0.121594   ,  0.021504   ])
3300    , -101.663    , array([ 0.162929   ,  3.78756    ,  0.121716   ,  0.021504   ])
3301    , -101.64     , array([ 0.162929   ,  3.78756    ,  0.121594   ,  0.0215255  ])
3302    , -101.036    , array([ 0.164027   ,  3.4834     ,  0.120182   ,  0.0224052  ])
3303    , -101.036    , array([ 0.164027   ,  3.4834     ,  0.120182   ,  0.0224052  ])
3304    , -101.036    , array([ 0.164192   ,  3.4834     ,  0.120182   ,  0.0224052  ])
3305    , -101.041    , array([ 0.164027   ,  3.48689    ,  0.120182   ,  0.0224052  ])
3306    , -101.051    , array([ 0.164027   ,  3.4834     ,  0.120302   ,  0.0224052  ])
3307    , -101.047    , array([ 0.164027   ,  3.4834     ,  0.120182   ,  0.0224277  ])
3308    , -100.776    , array([ 0.162999   ,  3.2014     ,  0.1198     ,  0.0228293  ])
3309    , -100.776    , array([ 0.162999   ,  3.2014     ,  0.1198     ,  0.0228293  ])
3310    , -100.769    , array([ 0.163162   ,  3.2014     ,  0.1198     ,  0.0228293  ])
3311    , -100.783    , array([ 0.162999   ,  3.2046     ,  0.1198     ,  0.0228293  ])
3312    , -100.803    , array([ 0.162999   ,  3.2014     ,  0.11992    ,  0.0228293  ])
3313    , -100.798    , array([ 0.162999   ,  3.2014     ,  0.1198     ,  0.0228522  ])
3314    , -100.232    , array([ 0.161785   ,  2.75592    ,  0.118944   ,  0.0235328  ])
3315    , -100.232    , array([ 0.161785   ,  2.75592    ,  0.118944   ,  0.0235328  ])
3316    , -100.222    , array([ 0.161947   ,  2.75592    ,  0.118944   ,  0.0235328  ])
3317    , -100.241    , array([ 0.161785   ,  2.75868    ,  0.118944   ,  0.0235328  ])
3318    , -100.267    , array([ 0.161785   ,  2.75592    ,  0.119063   ,  0.0235328  ])
3319    , -100.263    , array([ 0.161785   ,  2.75592    ,  0.118944   ,  0.0235563  ])
3320    , -98.325     , array([ 0.157022   ,  1.51347    ,  0.115579   ,  0.02657    ])
3321    , -98.325     , array([ 0.157022   ,  1.51347    ,  0.115579   ,  0.02657    ])
3322    , -98.3339    , array([ 0.157179   ,  1.51347    ,  0.115579   ,  0.02657    ])
3323    , -98.3252    , array([ 0.157022   ,  1.51498    ,  0.115579   ,  0.02657    ])
3324    , -98.3538    , array([ 0.157022   ,  1.51347    ,  0.115694   ,  0.02657    ])
3325    , -98.3405    , array([ 0.157022   ,  1.51347    ,  0.115579   ,  0.0265966  ])
3326    , -96.8221    , array([ 0.14771    ,  1.30683    ,  0.104517   ,  0.0291576  ])
3327    , -96.8221    , array([ 0.14771    ,  1.30683    ,  0.104517   ,  0.0291576  ])
3328    , -96.8415    , array([ 0.147858   ,  1.30683    ,  0.104517   ,  0.0291576  ])
3329    , -96.8175    , array([ 0.14771    ,  1.30814    ,  0.104517   ,  0.0291576  ])
3330    , -96.839     , array([ 0.14771    ,  1.30683    ,  0.104622   ,  0.0291576  ])
3331    , -96.835     , array([ 0.14771    ,  1.30683    ,  0.104517   ,  0.0291867  ])
3332    , -95.4634    , array([ 0.137348   ,  1.4189     ,  0.092122   ,  0.0312313  ])
3333    , -95.4634    , array([ 0.137348   ,  1.4189     ,  0.092122   ,  0.0312313  ])
3334    , -95.4712    , array([ 0.137486   ,  1.4189     ,  0.092122   ,  0.0312313  ])
3335    , -95.4778    , array([ 0.137348   ,  1.42032    ,  0.092122   ,  0.0312313  ])
3336    , -95.4956    , array([ 0.137348   ,  1.4189     ,  0.0922142  ,  0.0312313  ])
3337    , -95.5173    , array([ 0.137348   ,  1.4189     ,  0.092122   ,  0.0312625  ])
3338    , -93.7621    , array([ 0.123648   ,  1.19857    ,  0.0812218  ,  0.0341238  ])
3339    , -93.7621    , array([ 0.123648   ,  1.19857    ,  0.0812218  ,  0.0341238  ])
3340    , -93.7595    , array([ 0.123772   ,  1.19857    ,  0.0812218  ,  0.0341238  ])
3341    , -93.7686    , array([ 0.123648   ,  1.19977    ,  0.0812218  ,  0.0341238  ])
3342    , -93.7931    , array([ 0.123648   ,  1.19857    ,  0.0813031  ,  0.0341238  ])
3343    , -93.8037    , array([ 0.123648   ,  1.19857    ,  0.0812218  ,  0.0341579  ])
3344    , -92.6466    , array([ 0.111105   ,  1.12511    ,  0.071415   ,  0.0361635  ])
3345    , -92.6466    , array([ 0.111105   ,  1.12511    ,  0.071415   ,  0.0361635  ])
3346    , -92.6292    , array([ 0.111217   ,  1.12511    ,  0.071415   ,  0.0361635  ])
