113653  , -1356.64    , array([ 1.0806     ,  0.124181   ,  5.19353    ,  1.47125    ,  0.0619591  ])
113654  , -1364.06    , array([ 1.0806     ,  0.124181   ,  4.5755     ,  1.47125    ,  0.0619591  ])
113655  , -1369.21    , array([ 1.0806     ,  0.124181   ,  5.5755     ,  1.47125    ,  0.0619591  ])
113656  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01816    ,  1.47125    ,  0.0619591  ])
113657  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01414    ,  1.47125    ,  0.0619591  ])
113658  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01183    ,  1.47125    ,  0.0619591  ])
113659  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01001    ,  1.47125    ,  0.0619591  ])
113660  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01183    ,  1.47125    ,  0.0619591  ])
113661  , -1374.64    , array([ 1.17317    ,  0.123031   ,  4.87748    ,  1.61135    ,  0.0624374  ])
113662  , -1360.57    , array([ 0.930806   ,  0.126041   ,  5.22921    ,  1.24458    ,  0.0611852  ])
113663  , -1355.15    , array([ 1.0806     ,  0.124181   ,  5.01183    ,  1.47125    ,  0.0619591  ])
113664  , -1350.57    , array([ 1.02338    ,  0.124891   ,  5.09486    ,  1.38467    ,  0.0616635  ])
