183500  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242594  ])
183501  , -1632.53    , array([ 1.43657    ,  0.0676524  ,  7.68827e-51,  8.97064e-12,  0.0242274  ])
183502  , -1632.53    , array([ 1.43657    ,  0.0676524  ,  7.68827e-51,  8.97064e-12,  0.0242274  ])
183503  , -1632.53    , array([ 1.438      ,  0.0676524  ,  7.68827e-51,  8.97064e-12,  0.0242274  ])
183504  , -1632.53    , array([ 1.43657    ,  0.0677201  ,  7.68827e-51,  8.97064e-12,  0.0242274  ])
183505  , -1632.53    , array([ 1.43657    ,  0.0676524  ,  7.69597e-51,  8.97064e-12,  0.0242274  ])
183506  , -1632.53    , array([ 1.43657    ,  0.0676524  ,  7.68827e-51,  8.97961e-12,  0.0242274  ])
183507  , -1632.54    , array([ 1.43657    ,  0.0676524  ,  7.68827e-51,  8.97064e-12,  0.0242516  ])
183508  , -1632.53    , array([ 1.43779    ,  0.0676653  ,  7.68827e-51,  8.93251e-12,  0.024235   ])
183509  , -1632.53    , array([ 1.43779    ,  0.0676653  ,  7.68827e-51,  8.93251e-12,  0.024235   ])
183510  , -1632.53    , array([ 1.43923    ,  0.0676653  ,  7.68827e-51,  8.93251e-12,  0.024235   ])
183511  , -1632.52    , array([ 1.43779    ,  0.067733   ,  7.68827e-51,  8.93251e-12,  0.024235   ])
183512  , -1632.53    , array([ 1.43779    ,  0.0676653  ,  7.69597e-51,  8.93251e-12,  0.024235   ])
183513  , -1632.53    , array([ 1.43779    ,  0.0676653  ,  7.68827e-51,  8.94145e-12,  0.024235   ])
183514  , -1632.53    , array([ 1.43779    ,  0.0676653  ,  7.68827e-51,  8.93251e-12,  0.0242592  ])
183515  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93183e-12,  0.0242351  ])
183516  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93183e-12,  0.0242351  ])
183517  , -1632.53    , array([ 1.43925    ,  0.0676655  ,  7.68827e-51,  8.93183e-12,  0.0242351  ])
183518  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93183e-12,  0.0242351  ])
183519  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93183e-12,  0.0242351  ])
183520  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94077e-12,  0.0242351  ])
183521  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93183e-12,  0.0242594  ])
183522  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183523  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183524  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183525  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183526  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93182e-12,  0.0242351  ])
183527  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94076e-12,  0.0242351  ])
183528  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242594  ])
183529  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
