252     , -10586      , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000200122])
253     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
254     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
255     , -10582.1    , array([ 0.00225508 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000199922])
256     , -10602.4    , array([ 0.00225283 ,  0.00100123 ,  0.000339651,  2.94557e-50,  0.000199922])
257     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339991,  2.94557e-50,  0.000199922])
258     , -10590.2    , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94852e-50,  0.000199922])
259     , -10586      , array([ 0.00225283 ,  0.00100023 ,  0.000339651,  2.94557e-50,  0.000200122])
260     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
261     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
262     , -10579.8    , array([ 0.00225476 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
263     , -10600      , array([ 0.00225251 ,  0.00100106 ,  0.000339651,  2.94557e-50,  0.000199986])
264     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339991,  2.94557e-50,  0.000199986])
265     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94852e-50,  0.000199986])
266     , -10583.7    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000200186])
270     , -10598.5    , array([ 0.0022523  ,  0.00100094 ,  0.000339651,  2.94557e-50,  0.000200028])
274     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
275     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
276     , -10579.8    , array([ 0.00225476 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
277     , -10600      , array([ 0.00225251 ,  0.00100106 ,  0.000339651,  2.94557e-50,  0.000199986])
278     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339991,  2.94557e-50,  0.000199986])
279     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94852e-50,  0.000199986])
280     , -10583.7    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000200186])
281     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
282     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
283     , -10579.8    , array([ 0.00225476 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
284     , -10600      , array([ 0.00225251 ,  0.00100106 ,  0.000339651,  2.94557e-50,  0.000199986])
285     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339991,  2.94557e-50,  0.000199986])
286     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94852e-50,  0.000199986])
287     , -10583.7    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000200186])
291     , -10599.3    , array([ 0.00225241 ,  0.001001   ,  0.000339651,  2.94557e-50,  0.000200007])
295     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
296     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
297     , -10579.8    , array([ 0.00225476 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
298     , -10600      , array([ 0.00225251 ,  0.00100106 ,  0.000339651,  2.94557e-50,  0.000199986])
299     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339991,  2.94557e-50,  0.000199986])
300     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94852e-50,  0.000199986])
301     , -10583.7    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000200186])
302     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
303     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
304     , -10579.8    , array([ 0.00225476 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000199986])
305     , -10600      , array([ 0.00225251 ,  0.00100106 ,  0.000339651,  2.94557e-50,  0.000199986])
306     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339991,  2.94557e-50,  0.000199986])
307     , -10587.8    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94852e-50,  0.000199986])
308     , -10583.7    , array([ 0.00225251 ,  0.00100006 ,  0.000339651,  2.94557e-50,  0.000200186])
309     , -10587.5    , array([ 0.00225246 ,  0.00100003 ,  0.000339651,  2.94557e-50,  0.000199996])
310     , -10587.5    , array([ 0.00225246 ,  0.00100003 ,  0.000339651,  2.94557e-50,  0.000199996])
311     , -10579.4    , array([ 0.00225471 ,  0.00100003 ,  0.000339651,  2.94557e-50,  0.000199996])
312     , -10599.6    , array([ 0.00225246 ,  0.00100103 ,  0.000339651,  2.94557e-50,  0.000199996])
313     , -10587.5    , array([ 0.00225246 ,  0.00100003 ,  0.000339991,  2.94557e-50,  0.000199996])
314     , -10587.5    , array([ 0.00225246 ,  0.00100003 ,  0.000339651,  2.94852e-50,  0.000199996])
315     , -10583.3    , array([ 0.00225246 ,  0.00100003 ,  0.000339651,  2.94557e-50,  0.000200197])
316     , -10587.2    , array([ 0.00225242 ,  0.00100001 ,  0.000339651,  2.94557e-50,  0.000200003])
317     , -10587.2    , array([ 0.00225242 ,  0.00100001 ,  0.000339651,  2.94557e-50,  0.000200003])
318     , -10579.1    , array([ 0.00225468 ,  0.00100001 ,  0.000339651,  2.94557e-50,  0.000200003])
319     , -10599.4    , array([ 0.00225242 ,  0.00100101 ,  0.000339651,  2.94557e-50,  0.000200003])
320     , -10587.2    , array([ 0.00225242 ,  0.00100001 ,  0.000339991,  2.94557e-50,  0.000200003])
321     , -10587.2    , array([ 0.00225242 ,  0.00100001 ,  0.000339651,  2.94852e-50,  0.000200003])
322     , -10583.1    , array([ 0.00225242 ,  0.00100001 ,  0.000339651,  2.94557e-50,  0.000200203])
323     , -10587.1    , array([ 0.00225241 ,  0.001      ,  0.000339651,  2.94557e-50,  0.000200006])
324     , -10587.1    , array([ 0.00225241 ,  0.001      ,  0.000339651,  2.94557e-50,  0.000200006])
325     , -10579      , array([ 0.00225466 ,  0.001      ,  0.000339651,  2.94557e-50,  0.000200006])
326     , -10599.3    , array([ 0.00225241 ,  0.001001   ,  0.000339651,  2.94557e-50,  0.000200006])
327     , -10587.1    , array([ 0.00225241 ,  0.001      ,  0.000339991,  2.94557e-50,  0.000200006])
328     , -10587.1    , array([ 0.00225241 ,  0.001      ,  0.000339651,  2.94852e-50,  0.000200006])
329     , -10583      , array([ 0.00225241 ,  0.001      ,  0.000339651,  2.94557e-50,  0.000200206])
333     , -10599.3    , array([ 0.00225241 ,  0.001001   ,  0.000339651,  2.94557e-50,  0.000200007])
337     , -10587.1    , array([ 0.00225241 ,  0.001      ,  0.000339651,  2.94557e-50,  0.000200006])
