1543    , -1409.28    , array([ 0.798327   ,  0.089727   ,  5.27714    ,  4.53092    ,  0.053211   ])
1544    , -1387.97    , array([ 0.821228   ,  0.0902352  ,  5.3968     ,  4.46614    ,  0.0522801  ])
1545    , -1387.97    , array([ 0.821228   ,  0.0902352  ,  5.3968     ,  4.46614    ,  0.0522801  ])
1546    , -1387.56    , array([ 0.82205    ,  0.0902352  ,  5.3968     ,  4.46614    ,  0.0522801  ])
1547    , -1388.08    , array([ 0.821228   ,  0.0903255  ,  5.3968     ,  4.46614    ,  0.0522801  ])
1548    , -1387.93    , array([ 0.821228   ,  0.0902352  ,  5.4022     ,  4.46614    ,  0.0522801  ])
1549    , -1388.16    , array([ 0.821228   ,  0.0902352  ,  5.3968     ,  4.47061    ,  0.0522801  ])
1550    , -1388.05    , array([ 0.821228   ,  0.0902352  ,  5.3968     ,  4.46614    ,  0.0523324  ])
1551    , -1357.42    , array([ 0.906996   ,  0.0907126  ,  5.12367    ,  4.40731    ,  0.0512067  ])
1552    , -1357.42    , array([ 0.906996   ,  0.0907126  ,  5.12367    ,  4.40731    ,  0.0512067  ])
1553    , -1357.23    , array([ 0.907904   ,  0.0907126  ,  5.12367    ,  4.40731    ,  0.0512067  ])
1554    , -1357.72    , array([ 0.906996   ,  0.0908034  ,  5.12367    ,  4.40731    ,  0.0512067  ])
1555    , -1357.43    , array([ 0.906996   ,  0.0907126  ,  5.12879    ,  4.40731    ,  0.0512067  ])
1556    , -1357.64    , array([ 0.906996   ,  0.0907126  ,  5.12367    ,  4.41172    ,  0.0512067  ])
1557    , -1357.35    , array([ 0.906996   ,  0.0907126  ,  5.12367    ,  4.40731    ,  0.0512579  ])
1558    , -1345.37    , array([ 0.996677   ,  0.0932407  ,  5.00287    ,  4.22557    ,  0.0528266  ])
1559    , -1345.37    , array([ 0.996677   ,  0.0932407  ,  5.00287    ,  4.22557    ,  0.0528266  ])
1560    , -1345.38    , array([ 0.997675   ,  0.0932407  ,  5.00287    ,  4.22557    ,  0.0528266  ])
1561    , -1345.55    , array([ 0.996677   ,  0.0933339  ,  5.00287    ,  4.22557    ,  0.0528266  ])
1562    , -1345.42    , array([ 0.996677   ,  0.0932407  ,  5.00787    ,  4.22557    ,  0.0528266  ])
1563    , -1345.55    , array([ 0.996677   ,  0.0932407  ,  5.00287    ,  4.22979    ,  0.0528266  ])
1564    , -1345.38    , array([ 0.996677   ,  0.0932407  ,  5.00287    ,  4.22557    ,  0.0528795  ])
1565    , -1344.27    , array([ 1.02695    ,  0.0902789  ,  4.7408     ,  4.34658    ,  0.0500522  ])
1566    , -1344.27    , array([ 1.02695    ,  0.0902789  ,  4.7408     ,  4.34658    ,  0.0500522  ])
1567    , -1344.3     , array([ 1.02797    ,  0.0902789  ,  4.7408     ,  4.34658    ,  0.0500522  ])
1568    , -1344.48    , array([ 1.02695    ,  0.0903692  ,  4.7408     ,  4.34658    ,  0.0500522  ])
1569    , -1344.29    , array([ 1.02695    ,  0.0902789  ,  4.74555    ,  4.34658    ,  0.0500522  ])
1570    , -1344.45    , array([ 1.02695    ,  0.0902789  ,  4.7408     ,  4.35093    ,  0.0500522  ])
1571    , -1344.23    , array([ 1.02695    ,  0.0902789  ,  4.7408     ,  4.34658    ,  0.0501023  ])
1572    , -1343.11    , array([ 1.02999    ,  0.0900456  ,  4.78639    ,  4.31855    ,  0.0499675  ])
1573    , -1343.11    , array([ 1.02999    ,  0.0900456  ,  4.78639    ,  4.31855    ,  0.0499675  ])
1574    , -1343.15    , array([ 1.03102    ,  0.0900456  ,  4.78639    ,  4.31855    ,  0.0499675  ])
1575    , -1343.26    , array([ 1.02999    ,  0.0901357  ,  4.78639    ,  4.31855    ,  0.0499675  ])
1576    , -1343.14    , array([ 1.02999    ,  0.0900456  ,  4.79118    ,  4.31855    ,  0.0499675  ])
1577    , -1343.28    , array([ 1.02999    ,  0.0900456  ,  4.78639    ,  4.32287    ,  0.0499675  ])
1578    , -1343.1     , array([ 1.02999    ,  0.0900456  ,  4.78639    ,  4.31855    ,  0.0500174  ])
1579    , -1341.18    , array([ 1.0311     ,  0.0895278  ,  4.85405    ,  4.26721    ,  0.0495632  ])
1580    , -1341.18    , array([ 1.0311     ,  0.0895278  ,  4.85405    ,  4.26721    ,  0.0495632  ])
1581    , -1341.24    , array([ 1.03213    ,  0.0895278  ,  4.85405    ,  4.26721    ,  0.0495632  ])
1582    , -1341.26    , array([ 1.0311     ,  0.0896173  ,  4.85405    ,  4.26721    ,  0.0495632  ])
1583    , -1341.22    , array([ 1.0311     ,  0.0895278  ,  4.8589     ,  4.26721    ,  0.0495632  ])
1584    , -1341.33    , array([ 1.0311     ,  0.0895278  ,  4.85405    ,  4.27148    ,  0.0495632  ])
1585    , -1341.21    , array([ 1.0311     ,  0.0895278  ,  4.85405    ,  4.26721    ,  0.0496128  ])
1586    , -1338.03    , array([ 1.03091    ,  0.0889918  ,  4.94352    ,  4.15622    ,  0.048933   ])
1587    , -1338.03    , array([ 1.03091    ,  0.0889918  ,  4.94352    ,  4.15622    ,  0.048933   ])
1588    , -1338.1     , array([ 1.03194    ,  0.0889918  ,  4.94352    ,  4.15622    ,  0.048933   ])
1589    , -1338.02    , array([ 1.03091    ,  0.0890808  ,  4.94352    ,  4.15622    ,  0.048933   ])
1590    , -1338.08    , array([ 1.03091    ,  0.0889918  ,  4.94846    ,  4.15622    ,  0.048933   ])
1591    , -1338.15    , array([ 1.03091    ,  0.0889918  ,  4.94352    ,  4.16037    ,  0.048933   ])
1592    , -1338.09    , array([ 1.03091    ,  0.0889918  ,  4.94352    ,  4.15622    ,  0.0489819  ])
1593    , -1332.96    , array([ 1.02889    ,  0.0887775  ,  5.05435    ,  3.92926    ,  0.0481026  ])
1594    , -1332.96    , array([ 1.02889    ,  0.0887775  ,  5.05435    ,  3.92926    ,  0.0481026  ])
1595    , -1333.05    , array([ 1.02992    ,  0.0887775  ,  5.05435    ,  3.92926    ,  0.0481026  ])
1596    , -1332.86    , array([ 1.02889    ,  0.0888663  ,  5.05435    ,  3.92926    ,  0.0481026  ])
1597    , -1333.03    , array([ 1.02889    ,  0.0887775  ,  5.05941    ,  3.92926    ,  0.0481026  ])
1598    , -1333.04    , array([ 1.02889    ,  0.0887775  ,  5.05435    ,  3.93319    ,  0.0481026  ])
1599    , -1333.06    , array([ 1.02889    ,  0.0887775  ,  5.05435    ,  3.92926    ,  0.0481507  ])
1600    , -1325.13    , array([ 1.02302    ,  0.089681   ,  5.16999    ,  3.49919    ,  0.0472237  ])
1601    , -1325.13    , array([ 1.02302    ,  0.089681   ,  5.16999    ,  3.49919    ,  0.0472237  ])
1602    , -1325.21    , array([ 1.02404    ,  0.089681   ,  5.16999    ,  3.49919    ,  0.0472237  ])
1603    , -1324.98    , array([ 1.02302    ,  0.0897708  ,  5.16999    ,  3.49919    ,  0.0472237  ])
1604    , -1325.2     , array([ 1.02302    ,  0.089681   ,  5.17517    ,  3.49919    ,  0.0472237  ])
1605    , -1325.16    , array([ 1.02302    ,  0.089681   ,  5.16999    ,  3.50269    ,  0.0472237  ])
1606    , -1325.21    , array([ 1.02302    ,  0.089681   ,  5.16999    ,  3.49919    ,  0.047271   ])
1607    , -1316.41    , array([ 1.01118    ,  0.0929049  ,  5.20252    ,  2.92025    ,  0.0471366  ])
1608    , -1316.41    , array([ 1.01118    ,  0.0929049  ,  5.20252    ,  2.92025    ,  0.0471366  ])
1609    , -1316.47    , array([ 1.0122     ,  0.0929049  ,  5.20252    ,  2.92025    ,  0.0471366  ])
1610    , -1316.33    , array([ 1.01118    ,  0.0929979  ,  5.20252    ,  2.92025    ,  0.0471366  ])
1611    , -1316.48    , array([ 1.01118    ,  0.0929049  ,  5.20773    ,  2.92025    ,  0.0471366  ])
1612    , -1316.42    , array([ 1.01118    ,  0.0929049  ,  5.20252    ,  2.92317    ,  0.0471366  ])
1613    , -1316.43    , array([ 1.01118    ,  0.0929049  ,  5.20252    ,  2.92025    ,  0.0471838  ])
1614    , -1311.95    , array([ 0.999708   ,  0.0969235  ,  5.10526    ,  2.54113    ,  0.0482734  ])
1615    , -1311.95    , array([ 0.999708   ,  0.0969235  ,  5.10526    ,  2.54113    ,  0.0482734  ])
1616    , -1311.97    , array([ 1.00071    ,  0.0969235  ,  5.10526    ,  2.54113    ,  0.0482734  ])
1617    , -1311.89    , array([ 0.999708   ,  0.0970204  ,  5.10526    ,  2.54113    ,  0.0482734  ])
1618    , -1311.98    , array([ 0.999708   ,  0.0969235  ,  5.11037    ,  2.54113    ,  0.0482734  ])
1619    , -1311.94    , array([ 0.999708   ,  0.0969235  ,  5.10526    ,  2.54367    ,  0.0482734  ])
1620    , -1311.98    , array([ 0.999708   ,  0.0969235  ,  5.10526    ,  2.54113    ,  0.0483217  ])
1621    , -1311.36    , array([ 1.00015    ,  0.0980673  ,  5.02468    ,  2.47711    ,  0.0486747  ])
