137372  , -71232.9    , array([ 2.93504    ,  0.00100222 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137373  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352789  ,  0.161574   ,  7.18528e-06])
137374  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161735   ,  7.18528e-06])
137375  , -71218.2    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.19247e-06])
137376  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137377  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137378  , -71225.6    , array([ 2.93798    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137379  , -71232.9    , array([ 2.93504    ,  0.00100222 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137380  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352789  ,  0.161574   ,  7.18528e-06])
137381  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161735   ,  7.18528e-06])
137382  , -71218.2    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.19247e-06])
137383  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137384  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137385  , -71225.6    , array([ 2.93798    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137386  , -71232.9    , array([ 2.93504    ,  0.00100222 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137387  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352789  ,  0.161574   ,  7.18528e-06])
137388  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161735   ,  7.18528e-06])
137389  , -71218.2    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.19247e-06])
137393  , -71212.4    , array([ 2.93499    ,  0.00100083 ,  0.0352436  ,  0.161574   ,  7.19538e-06])
137397  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137398  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137399  , -71225.6    , array([ 2.93798    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137400  , -71232.9    , array([ 2.93504    ,  0.00100222 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137401  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352789  ,  0.161574   ,  7.18528e-06])
137402  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161735   ,  7.18528e-06])
137403  , -71218.2    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.19247e-06])
137404  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
137405  , -71225.6    , array([ 2.93504    ,  0.00100122 ,  0.0352436  ,  0.161574   ,  7.18528e-06])
