17784   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17785   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17786   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17788   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17789   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17790   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17791   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17792   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17794   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17795   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17796   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17797   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17798   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17800   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17801   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17802   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17803   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17804   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17806   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17807   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17808   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17809   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17810   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17812   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17813   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17814   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17815   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17816   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17818   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17819   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17820   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17821   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17822   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17824   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17825   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17826   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17827   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17828   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17830   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17831   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17832   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17833   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17834   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17836   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17837   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17838   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17839   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17840   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17842   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17843   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17844   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17845   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17846   , -2751.01    , array([ 0.61788    ,  99.9836    ,  9.12979e-32,  0.0175381  ])
17848   , -2751.01    , array([ 0.617263   ,  99.9836    ,  9.13892e-32,  0.0175381  ])
17849   , -2751.49    , array([ 0.617263   ,  99.9836    ,  9.12979e-32,  0.0175556  ])
17854   , -2753.35    , array([ 0.617263   ,  99.5049    ,  9.12979e-32,  0.017624   ])
17855   , -2753.35    , array([ 0.617263   ,  99.5049    ,  9.12979e-32,  0.017624   ])
17856   , -2753.35    , array([ 0.61788    ,  99.5049    ,  9.12979e-32,  0.017624   ])
17857   , -2753.36    , array([ 0.617263   ,  99.6044    ,  9.12979e-32,  0.017624   ])
17858   , -2753.35    , array([ 0.617263   ,  99.5049    ,  9.13892e-32,  0.017624   ])
17859   , -2753.84    , array([ 0.617263   ,  99.5049    ,  9.12979e-32,  0.0176416  ])
17862   , -2751.19    , array([ 0.617263   ,  99.9471    ,  9.12979e-32,  0.0175446  ])
17863   , -2751.19    , array([ 0.617263   ,  99.9471    ,  9.12979e-32,  0.0175446  ])
17864   , -2751.19    , array([ 0.61788    ,  99.9471    ,  9.12979e-32,  0.0175446  ])
17866   , -2751.19    , array([ 0.617263   ,  99.9471    ,  9.13892e-32,  0.0175446  ])
17867   , -2751.67    , array([ 0.617263   ,  99.9471    ,  9.12979e-32,  0.0175621  ])
17868   , -2752.42    , array([ 0.617263   ,  99.6939    ,  9.12979e-32,  0.01759    ])
17869   , -2751.69    , array([ 0.617263   ,  99.8433    ,  9.12979e-32,  0.0175632  ])
17870   , -2751.41    , array([ 0.617263   ,  99.9016    ,  9.12979e-32,  0.0175527  ])
17871   , -2751.28    , array([ 0.617263   ,  99.9274    ,  9.12979e-32,  0.0175481  ])
