93364   , -2433.98    , array([ 2.85198    ,  0.152203   ,  4.76464e-54,  1.38056    ,  0.0603293  ])
93365   , -2432.4     , array([ 2.85198    ,  0.152051   ,  4.7694e-54 ,  1.38056    ,  0.0603293  ])
93366   , -2432.5     , array([ 2.85198    ,  0.152051   ,  4.76464e-54,  1.38195    ,  0.0603293  ])
93367   , -2433.08    , array([ 2.85198    ,  0.152051   ,  4.76464e-54,  1.38056    ,  0.0603897  ])
93375   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38057    ,  0.0603293  ])
93376   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38057    ,  0.0603293  ])
93377   , -2432.87    , array([ 2.85483    ,  0.152051   ,  4.76464e-54,  1.38057    ,  0.0603293  ])
93378   , -2433.98    , array([ 2.85197    ,  0.152203   ,  4.76464e-54,  1.38057    ,  0.0603293  ])
93379   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.7694e-54 ,  1.38057    ,  0.0603293  ])
93380   , -2432.5     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38195    ,  0.0603293  ])
93381   , -2433.08    , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38057    ,  0.0603897  ])
93382   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93383   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93384   , -2432.87    , array([ 2.85482    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93385   , -2433.98    , array([ 2.85197    ,  0.152203   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93386   , -2432.4     , array([ 2.85197    ,  0.152051   ,  4.7694e-54 ,  1.38058    ,  0.0603293  ])
93387   , -2432.5     , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38196    ,  0.0603293  ])
93388   , -2433.08    , array([ 2.85197    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603897  ])
93396   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93397   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93398   , -2432.87    , array([ 2.85482    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93399   , -2433.98    , array([ 2.85196    ,  0.152203   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93400   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.7694e-54 ,  1.38058    ,  0.0603293  ])
93401   , -2432.5     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38196    ,  0.0603293  ])
93402   , -2433.08    , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603897  ])
