50839   , -2121.66    , array([ 5.43689    ,  0.00100237 ,  3.00634e-33,  1.37252e-05])
50840   , -2121.48    , array([ 5.43689    ,  0.00100137 ,  3.00935e-33,  1.37252e-05])
50841   , -2121.31    , array([ 5.43689    ,  0.00100137 ,  3.00634e-33,  1.37389e-05])
50842   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50843   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50844   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50845   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50846   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50847   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50848   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50849   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50850   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50851   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50852   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50853   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50854   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50855   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50856   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50857   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50858   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50859   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50863   , -2121.49    , array([ 5.43689    ,  0.00100059 ,  3.00634e-33,  1.37141e-05])
50866   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50867   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50868   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50869   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50870   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50871   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50872   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50873   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50874   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50875   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50876   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50877   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50881   , -2121.52    , array([ 5.43689    ,  0.00100089 ,  3.00634e-33,  1.3716e-05 ])
50884   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
