24725   , -429.638    , array([ 10.0596    ,  0.296903   ,  1.84383e-57,  0.319255   ])
24726   , -429.638    , array([ 10.0696    ,  0.296903   ,  1.84383e-57,  0.319255   ])
24727   , -429.723    , array([ 10.0596    ,  0.2972     ,  1.84383e-57,  0.319255   ])
24728   , -429.638    , array([ 10.0596    ,  0.296903   ,  1.84567e-57,  0.319255   ])
24729   , -429.475    , array([ 10.0596    ,  0.296903   ,  1.84383e-57,  0.319575   ])
24730   , -415.43     , array([ 10.0596    ,  0.283027   ,  1.84383e-57,  0.349324   ])
24731   , -415.43     , array([ 10.0596    ,  0.283027   ,  1.84383e-57,  0.349324   ])
24732   , -415.43     , array([ 10.0696    ,  0.283027   ,  1.84383e-57,  0.349324   ])
24733   , -415.52     , array([ 10.0596    ,  0.28331    ,  1.84383e-57,  0.349324   ])
24734   , -415.43     , array([ 10.0596    ,  0.283027   ,  1.84567e-57,  0.349324   ])
24735   , -415.381    , array([ 10.0596    ,  0.283027   ,  1.84383e-57,  0.349673   ])
24736   , -409.645    , array([ 10.0596    ,  0.249213   ,  1.84383e-57,  0.379134   ])
24737   , -409.645    , array([ 10.0596    ,  0.249213   ,  1.84383e-57,  0.379134   ])
24738   , -409.645    , array([ 10.0696    ,  0.249213   ,  1.84383e-57,  0.379134   ])
24739   , -409.679    , array([ 10.0596    ,  0.249462   ,  1.84383e-57,  0.379134   ])
24740   , -409.645    , array([ 10.0596    ,  0.249213   ,  1.84567e-57,  0.379134   ])
