17006   , -2537.26    , array([ 0.525      ,  99.9454    ,  5.13649e-92,  0.00926887 ])
17008   , -2537.26    , array([ 0.524475   ,  99.9454    ,  5.14163e-92,  0.00926887 ])
17009   , -2537.49    , array([ 0.524475   ,  99.9454    ,  5.13649e-92,  0.00927814 ])
17010   , -2537.26    , array([ 0.524475   ,  99.9503    ,  5.13649e-92,  0.00926878 ])
17011   , -2537.26    , array([ 0.524475   ,  99.9503    ,  5.13649e-92,  0.00926878 ])
17012   , -2537.26    , array([ 0.525      ,  99.9503    ,  5.13649e-92,  0.00926878 ])
17014   , -2537.26    , array([ 0.524475   ,  99.9503    ,  5.14163e-92,  0.00926878 ])
17015   , -2537.48    , array([ 0.524475   ,  99.9503    ,  5.13649e-92,  0.00927805 ])
17016   , -2537.26    , array([ 0.524475   ,  99.9514    ,  5.13649e-92,  0.00926876 ])
17017   , -2537.26    , array([ 0.524475   ,  99.9514    ,  5.13649e-92,  0.00926876 ])
17018   , -2537.26    , array([ 0.525      ,  99.9514    ,  5.13649e-92,  0.00926876 ])
17020   , -2537.26    , array([ 0.524475   ,  99.9514    ,  5.14163e-92,  0.00926876 ])
17021   , -2537.48    , array([ 0.524475   ,  99.9514    ,  5.13649e-92,  0.00927803 ])
17022   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17023   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17024   , -2537.26    , array([ 0.525      ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17026   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.14163e-92,  0.00926875 ])
17027   , -2537.48    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00927803 ])
17028   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17029   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17030   , -2537.26    , array([ 0.525      ,  99.9516    ,  5.13649e-92,  0.00926875 ])
17032   , -2537.26    , array([ 0.524475   ,  99.9516    ,  5.14163e-92,  0.00926875 ])
17033   , -2537.48    , array([ 0.524475   ,  99.9516    ,  5.13649e-92,  0.00927803 ])
17034   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17035   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17036   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17038   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17039   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17040   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17041   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17042   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17044   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17045   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17046   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17047   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17048   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17050   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17051   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17052   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17053   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17054   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17056   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17057   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17058   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17059   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17060   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17062   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17063   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17064   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17065   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17066   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17068   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17069   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17070   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17071   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17072   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17074   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17075   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17076   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17077   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17078   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17080   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17081   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17082   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17083   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17084   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17086   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17087   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17088   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17089   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17090   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17092   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17093   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17094   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17095   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17096   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17098   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17099   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17100   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17101   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17102   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17104   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
