1337    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1338    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1339    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1340    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1341    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1342    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1343    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1344    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1345    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1346    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1347    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1348    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1349    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1350    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1351    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1352    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1353    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1354    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1355    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1356    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1357    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1358    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1359    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1360    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1361    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1362    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1363    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1364    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1365    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1366    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1367    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1368    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1369    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1370    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1371    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1372    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1373    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1374    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1375    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1376    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1377    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1378    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1379    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1380    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1381    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1382    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1383    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1384    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1385    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1386    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1387    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1388    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1389    , -1311.06    , array([ 1.0017     ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1390    , -1311.1     , array([ 1.00069    ,  0.0988195  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1391    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.98334    ,  2.53262    ,  0.0491347  ])
1392    , -1311.07    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53516    ,  0.0491347  ])
1393    , -1311.05    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491838  ])
1394    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
1395    , -1311.06    , array([ 1.00069    ,  0.0987207  ,  4.97836    ,  2.53262    ,  0.0491347  ])
