28234   , -2335.08    , array([ 0.085349   ,  3.76653    ,  8.36269e-06,  4.5365e-38 ])
28235   , -2335.08    , array([ 0.085349   ,  3.76653    ,  8.36269e-06,  4.5365e-38 ])
28236   , -2335.09    , array([ 0.0854344  ,  3.76653    ,  8.36269e-06,  4.5365e-38 ])
28237   , -2335.08    , array([ 0.085349   ,  3.7703     ,  8.36269e-06,  4.5365e-38 ])
28238   , -2335.08    , array([ 0.085349   ,  3.76653    ,  8.37106e-06,  4.5365e-38 ])
28239   , -2335.08    , array([ 0.085349   ,  3.76653    ,  8.36269e-06,  4.54103e-38])
28240   , -2328.78    , array([ 0.00533677 ,  3.76653    ,  2.25642e-06,  4.5365e-38 ])
28241   , -2328.78    , array([ 0.00533677 ,  3.76653    ,  2.25642e-06,  4.5365e-38 ])
28242   , -2328.78    , array([ 0.00534211 ,  3.76653    ,  2.25642e-06,  4.5365e-38 ])
28243   , -2328.78    , array([ 0.00533677 ,  3.7703     ,  2.25642e-06,  4.5365e-38 ])
28244   , -2328.77    , array([ 0.00533677 ,  3.76653    ,  2.25868e-06,  4.5365e-38 ])
28245   , -2328.78    , array([ 0.00533677 ,  3.76653    ,  2.25642e-06,  4.54103e-38])
28248   , -2320.18    , array([ 0.0013345  ,  3.76653    ,  1.17208e-06,  4.5365e-38 ])
28249   , -2320.18    , array([ 0.0013345  ,  3.76653    ,  1.17208e-06,  4.5365e-38 ])
28250   , -2320.19    , array([ 0.00133583 ,  3.76653    ,  1.17208e-06,  4.5365e-38 ])
28251   , -2320.18    , array([ 0.0013345  ,  3.7703     ,  1.17208e-06,  4.5365e-38 ])
28252   , -2320.16    , array([ 0.0013345  ,  3.76653    ,  1.17325e-06,  4.5365e-38 ])
28253   , -2320.18    , array([ 0.0013345  ,  3.76653    ,  1.17208e-06,  4.54103e-38])
28256   , -2318.61    , array([ 0.00112221 ,  3.76653    ,  1.07994e-06,  4.5365e-38 ])
28257   , -2318.61    , array([ 0.00112221 ,  3.76653    ,  1.07994e-06,  4.5365e-38 ])
28258   , -2318.62    , array([ 0.00112333 ,  3.76653    ,  1.07994e-06,  4.5365e-38 ])
28259   , -2318.61    , array([ 0.00112221 ,  3.7703     ,  1.07994e-06,  4.5365e-38 ])
28260   , -2318.59    , array([ 0.00112221 ,  3.76653    ,  1.08102e-06,  4.5365e-38 ])
28261   , -2318.61    , array([ 0.00112221 ,  3.76653    ,  1.07994e-06,  4.54103e-38])
28262   , -2317.77    , array([ 0.00102908 ,  3.76653    ,  1.03662e-06,  4.5365e-38 ])
28263   , -2317.77    , array([ 0.00102908 ,  3.76653    ,  1.03662e-06,  4.5365e-38 ])
28264   , -2317.79    , array([ 0.00103011 ,  3.76653    ,  1.03662e-06,  4.5365e-38 ])
28265   , -2317.77    , array([ 0.00102908 ,  3.7703     ,  1.03662e-06,  4.5365e-38 ])
28266   , -2317.75    , array([ 0.00102908 ,  3.76653    ,  1.03766e-06,  4.5365e-38 ])
28267   , -2317.77    , array([ 0.00102908 ,  3.76653    ,  1.03662e-06,  4.54103e-38])
28269   , -2317.55    , array([ 0.00100704 ,  3.76653    ,  1.02607e-06,  4.5365e-38 ])
28270   , -2317.55    , array([ 0.00100704 ,  3.76653    ,  1.02607e-06,  4.5365e-38 ])
28271   , -2317.57    , array([ 0.00100804 ,  3.76653    ,  1.02607e-06,  4.5365e-38 ])
28272   , -2317.55    , array([ 0.00100704 ,  3.7703     ,  1.02607e-06,  4.5365e-38 ])
28273   , -2317.53    , array([ 0.00100704 ,  3.76653    ,  1.02709e-06,  4.5365e-38 ])
28274   , -2317.55    , array([ 0.00100704 ,  3.76653    ,  1.02607e-06,  4.54103e-38])
28276   , -2317.5     , array([ 0.0010016  ,  3.76653    ,  1.02345e-06,  4.5365e-38 ])
28277   , -2317.5     , array([ 0.0010016  ,  3.76653    ,  1.02345e-06,  4.5365e-38 ])
28278   , -2317.52    , array([ 0.0010026  ,  3.76653    ,  1.02345e-06,  4.5365e-38 ])
28279   , -2317.5     , array([ 0.0010016  ,  3.7703     ,  1.02345e-06,  4.5365e-38 ])
28280   , -2317.48    , array([ 0.0010016  ,  3.76653    ,  1.02447e-06,  4.5365e-38 ])
28281   , -2317.5     , array([ 0.0010016  ,  3.76653    ,  1.02345e-06,  4.54103e-38])
