48236   , -1904.43    , array([ 1.44375    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48237   , -1950.18    , array([ 2.06179    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48238   , -1868.63    , array([ 1.06179    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48239   , -1851.51    , array([ 0.82572    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48240   , -1854.54    , array([ 0.679822   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48241   , -1850.69    , array([ 0.795252   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48242   , -1850.49    , array([ 0.777865   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48243   , -1850.47    , array([ 0.76808    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48244   , -1850.46    , array([ 0.771323   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48245   , -1850.46    , array([ 0.771323   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48246   , -59139.3    , array([ 0.771323   ,  1.03335    ,  3.881      ,  0.378146   ,  0.0121338  ])
48248   , -1850.46    , array([ 0.771323   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48250   , -47582.4    , array([ 0.771323   ,  0.415319   ,  3.881      ,  0.378146   ,  0.0121338  ])
48251   , -35358.8    , array([ 0.771323   ,  0.223966   ,  3.881      ,  0.378146   ,  0.0121338  ])
48254   , -17847.4    , array([ 0.771323   ,  0.10616    ,  3.881      ,  0.378146   ,  0.0121338  ])
48256   , -6902.85    , array([ 0.771323   ,  0.0611627  ,  3.881      ,  0.378146   ,  0.0121338  ])
48257   , -5969.17    , array([ 0.771323   ,  0.020197   ,  3.881      ,  0.378146   ,  0.0121338  ])
48258   , -2305.09    , array([ 0.771323   ,  0.0397363  ,  3.881      ,  0.378146   ,  0.0121338  ])
48259   , -1874.68    , array([ 0.771323   ,  0.034734   ,  3.881      ,  0.378146   ,  0.0121338  ])
48260   , -1850.77    , array([ 0.771323   ,  0.0332265  ,  3.881      ,  0.378146   ,  0.0121338  ])
48261   , -1850.46    , array([ 0.771323   ,  0.0333815  ,  3.881      ,  0.378146   ,  0.0121338  ])
48262   , -1850.46    , array([ 0.771323   ,  0.0333774  ,  3.881      ,  0.378146   ,  0.0121338  ])
48263   , -1850.46    , array([ 0.771323   ,  0.0333777  ,  3.881      ,  0.378146   ,  0.0121338  ])
48264   , -1850.46    , array([ 0.771323   ,  0.0333772  ,  3.881      ,  0.378146   ,  0.0121338  ])
48265   , -1850.46    , array([ 0.771323   ,  0.0333774  ,  3.881      ,  0.378146   ,  0.0121338  ])
48266   , -1867.15    , array([ 0.771323   ,  0.0333774  ,  4.881      ,  0.378146   ,  0.0121338  ])
48267   , -1836.05    , array([ 0.771323   ,  0.0333774  ,  2.26297    ,  0.378146   ,  0.0121338  ])
48268   , -1834.96    , array([ 0.771323   ,  0.0333774  ,  1.57461    ,  0.378146   ,  0.0121338  ])
48269   , -1840.08    , array([ 0.771323   ,  0.0333774  ,  0.460811   ,  0.378146   ,  0.0121338  ])
48270   , -1834.96    , array([ 0.771323   ,  0.0333774  ,  1.57461    ,  0.378146   ,  0.0121338  ])
48271   , -1835.89    , array([ 0.771323   ,  0.0333774  ,  1.14917    ,  0.378146   ,  0.0121338  ])
48272   , -1835.01    , array([ 0.771323   ,  0.0333774  ,  1.83754    ,  0.378146   ,  0.0121338  ])
48273   , -1834.92    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  0.378146   ,  0.0121338  ])
48274   , -1834.93    , array([ 0.771323   ,  0.0333774  ,  1.65992    ,  0.378146   ,  0.0121338  ])
48275   , -1834.93    , array([ 0.771323   ,  0.0333774  ,  1.7039     ,  0.378146   ,  0.0121338  ])
48276   , -1834.92    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  0.378146   ,  0.0121338  ])
48277   , -1813.8     , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  1.37815    ,  0.0121338  ])
48278   , -1808.55    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.99618    ,  0.0121338  ])
48279   , -1806.56    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0121338  ])
48280   , -1806.56    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0121338  ])
48281   , -1807.62    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.02482    ,  0.0121338  ])
48282   , -1806.84    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.64286    ,  0.0121338  ])
48283   , -1806.56    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.44495    ,  0.0121338  ])
48284   , -1806.57    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.40403    ,  0.0121338  ])
48285   , -1806.56    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0121338  ])
48286   , -42439.2    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  1.01213    ])
48288   , -1806.56    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0121338  ])
48290   , -42625.4    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.3941     ])
48291   , -42557.3    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.202787   ])
48294   , -35005.1    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0849568  ])
48296   , -16889.2    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0399497  ])
48298   , -6042.06    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0227586  ])
48299   , -5984.59    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.00710884 ])
48300   , -2121.02    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0149103  ])
48301   , -1793.74    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0130544  ])
48302   , -1782.42    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126957  ])
48303   , -1782.38    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126801  ])
48304   , -1782.38    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48305   , -1782.38    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126659  ])
48307   , -1782.38    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48308   , -1818.08    , array([ 1.77132    ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48310   , -1782.38    , array([ 0.771323   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48311   , -4711.43    , array([ 0.153289   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48312   , -1781.71    , array([ 1.15329    ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48313   , -1775.01    , array([ 0.962491   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48314   , -1775.07    , array([ 0.966858   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48315   , -1774.9     , array([ 0.911509   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48316   , -1776.11    , array([ 0.857963   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48317   , -1774.82    , array([ 0.931153   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48318   , -1774.82    , array([ 0.932751   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48319   , -1774.82    , array([ 0.929555   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48320   , -1774.82    , array([ 0.931153   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48321   , -59825.5    , array([ 0.931153   ,  1.03338    ,  1.68191    ,  2.42449    ,  0.0126713  ])
48323   , -1774.82    , array([ 0.931153   ,  0.0333774  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48325   , -47716.9    , array([ 0.931153   ,  0.415343   ,  1.68191    ,  2.42449    ,  0.0126713  ])
48326   , -35089.7    , array([ 0.931153   ,  0.223989   ,  1.68191    ,  2.42449    ,  0.0126713  ])
48329   , -17350.2    , array([ 0.931153   ,  0.106185   ,  1.68191    ,  2.42449    ,  0.0126713  ])
48331   , -6538.9     , array([ 0.931153   ,  0.0611873  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48332   , -5971.34    , array([ 0.931153   ,  0.0202218  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48333   , -2194.48    , array([ 0.931153   ,  0.0401258  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48334   , -1792.1     , array([ 0.931153   ,  0.035128   ,  1.68191    ,  2.42449    ,  0.0126713  ])
48335   , -1771.86    , array([ 0.931153   ,  0.0337811  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48336   , -1771.79    , array([ 0.931153   ,  0.0338661  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48337   , -1771.79    , array([ 0.931153   ,  0.0338545  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48338   , -1771.79    , array([ 0.931153   ,  0.0338593  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48339   , -1771.79    , array([ 0.931153   ,  0.0338498  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48340   , -1771.79    , array([ 0.931153   ,  0.0338545  ,  1.68191    ,  2.42449    ,  0.0126713  ])
48341   , -1781.23    , array([ 0.931153   ,  0.0338545  ,  2.68191    ,  2.42449    ,  0.0126713  ])
