183432  , -1.13905e+06, array([ 0.00218025 ,  89.1884    ,  9.47737e-59,  1.87845e-08,  0.054102   ])
183433  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183434  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183435  , -1.13645e+06, array([ 0.00215891 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183436  , -1.13741e+06, array([ 0.00215675 ,  95.3964    ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183437  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.48685e-59,  1.80715e-08,  0.0534068  ])
183438  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80896e-08,  0.0534068  ])
183439  , -1.13835e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534602  ])
183440  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183441  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183442  , -1.13645e+06, array([ 0.00215891 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183443  , -1.13741e+06, array([ 0.00215675 ,  95.3964    ,  9.47737e-59,  1.80715e-08,  0.0534068  ])
183444  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.48685e-59,  1.80715e-08,  0.0534068  ])
183445  , -1.13741e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80896e-08,  0.0534068  ])
183446  , -1.13835e+06, array([ 0.00215675 ,  95.301     ,  9.47737e-59,  1.80715e-08,  0.0534602  ])
183447  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183448  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183449  , -1.13598e+06, array([ 0.00214353 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183450  , -1.13694e+06, array([ 0.00214139 ,  99.6628    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183451  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.48685e-59,  1.76158e-08,  0.0529878  ])
183452  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76335e-08,  0.0529878  ])
183453  , -1.13788e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0530408  ])
183461  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183462  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
