738     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
739     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
740     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
741     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
742     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
743     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
744     , -24298.7    , array([ 0.0010012  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
745     , -24298.6    , array([ 0.0010002  ,  31.3837    ,  0.00128289 ,  0.0750191  ])
746     , -24298.5    , array([ 0.0010002  ,  31.3524    ,  0.00128417 ,  0.0750191  ])
747     , -24299.4    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750941  ])
750     , -24298.6    , array([ 0.00100098 ,  31.3545    ,  0.00128267 ,  0.0750135  ])
754     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
755     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
756     , -24298.7    , array([ 0.0010012  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
757     , -24298.6    , array([ 0.0010002  ,  31.3837    ,  0.00128289 ,  0.0750191  ])
758     , -24298.5    , array([ 0.0010002  ,  31.3524    ,  0.00128417 ,  0.0750191  ])
759     , -24299.4    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750941  ])
760     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
761     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
762     , -24298.7    , array([ 0.0010012  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
763     , -24298.6    , array([ 0.0010002  ,  31.3837    ,  0.00128289 ,  0.0750191  ])
764     , -24298.5    , array([ 0.0010002  ,  31.3524    ,  0.00128417 ,  0.0750191  ])
765     , -24299.4    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750941  ])
766     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
767     , -24298.6    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
768     , -24298.7    , array([ 0.0010012  ,  31.3524    ,  0.00128289 ,  0.0750191  ])
769     , -24298.6    , array([ 0.0010002  ,  31.3837    ,  0.00128289 ,  0.0750191  ])
770     , -24298.5    , array([ 0.0010002  ,  31.3524    ,  0.00128417 ,  0.0750191  ])
771     , -24299.4    , array([ 0.0010002  ,  31.3524    ,  0.00128289 ,  0.0750941  ])
777     , -24306      , array([ 0.00102555 ,  31.1094    ,  0.00130848 ,  0.0756656  ])
778     , -24306      , array([ 0.00102555 ,  31.1094    ,  0.00130848 ,  0.0756656  ])
779     , -24306.1    , array([ 0.00102658 ,  31.1094    ,  0.00130848 ,  0.0756656  ])
780     , -24306      , array([ 0.00102555 ,  31.1405    ,  0.00130848 ,  0.0756656  ])
781     , -24305.9    , array([ 0.00102555 ,  31.1094    ,  0.00130979 ,  0.0756656  ])
782     , -24306.8    , array([ 0.00102555 ,  31.1094    ,  0.00130848 ,  0.0757413  ])
783     , -24299.3    , array([ 0.00100252 ,  31.3297    ,  0.00128524 ,  0.0750789  ])
784     , -24299.3    , array([ 0.00100252 ,  31.3297    ,  0.00128524 ,  0.0750789  ])
785     , -24299.4    , array([ 0.00100353 ,  31.3297    ,  0.00128524 ,  0.0750789  ])
786     , -24299.3    , array([ 0.00100252 ,  31.3611    ,  0.00128524 ,  0.0750789  ])
787     , -24299.2    , array([ 0.00100252 ,  31.3297    ,  0.00128653 ,  0.0750789  ])
788     , -24300.1    , array([ 0.00100252 ,  31.3297    ,  0.00128524 ,  0.075154   ])
792     , -24298.8    , array([ 0.0010011  ,  31.3436    ,  0.0012838  ,  0.0750423  ])
793     , -24298.8    , array([ 0.0010011  ,  31.3436    ,  0.0012838  ,  0.0750423  ])
794     , -24298.9    , array([ 0.0010021  ,  31.3436    ,  0.0012838  ,  0.0750423  ])
795     , -24298.9    , array([ 0.0010011  ,  31.3749    ,  0.0012838  ,  0.0750423  ])
796     , -24298.8    , array([ 0.0010011  ,  31.3436    ,  0.00128509 ,  0.0750423  ])
797     , -24299.6    , array([ 0.0010011  ,  31.3436    ,  0.0012838  ,  0.0751174  ])
798     , -24298.6    , array([ 0.00100039 ,  31.3505    ,  0.00128309 ,  0.0750241  ])
799     , -24298.6    , array([ 0.00100039 ,  31.3505    ,  0.00128309 ,  0.0750241  ])
800     , -24298.7    , array([ 0.00100139 ,  31.3505    ,  0.00128309 ,  0.0750241  ])
801     , -24298.6    , array([ 0.00100039 ,  31.3818    ,  0.00128309 ,  0.0750241  ])
802     , -24298.6    , array([ 0.00100039 ,  31.3505    ,  0.00128437 ,  0.0750241  ])
803     , -24299.4    , array([ 0.00100039 ,  31.3505    ,  0.00128309 ,  0.0750991  ])
