112631  , -1632.48    , array([ 1.44343    ,  0.0677109  ,  6.69315e-06,  0.000869067,  0.0242506  ])
112632  , -1632.48    , array([ 1.44343    ,  0.0677109  ,  6.68646e-06,  0.000869937,  0.0242506  ])
112633  , -1632.48    , array([ 1.44343    ,  0.0677109  ,  6.68646e-06,  0.000869067,  0.0242748  ])
112634  , -1632.48    , array([ 1.4435     ,  0.0677114  ,  6.68643e-06,  0.000868715,  0.0242507  ])
112635  , -1632.48    , array([ 1.4435     ,  0.0677114  ,  6.68643e-06,  0.000868715,  0.0242507  ])
112636  , -1632.48    , array([ 1.44495    ,  0.0677114  ,  6.68643e-06,  0.000868715,  0.0242507  ])
112637  , -1632.48    , array([ 1.4435     ,  0.0677791  ,  6.68643e-06,  0.000868715,  0.0242507  ])
112638  , -1632.48    , array([ 1.4435     ,  0.0677114  ,  6.69312e-06,  0.000868715,  0.0242507  ])
112639  , -1632.48    , array([ 1.4435     ,  0.0677114  ,  6.68643e-06,  0.000869584,  0.0242507  ])
112640  , -1632.48    , array([ 1.4435     ,  0.0677114  ,  6.68643e-06,  0.000868715,  0.024275   ])
112641  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868672,  0.0242508  ])
112642  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868672,  0.0242508  ])
112643  , -1632.48    , array([ 1.44495    ,  0.0677114  ,  6.68643e-06,  0.000868672,  0.0242508  ])
112644  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868672,  0.0242508  ])
112645  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868672,  0.0242508  ])
112646  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869541,  0.0242508  ])
112647  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868672,  0.024275   ])
