21871   , -4892.52    , array([ 19.7416    ,  99.9965    ,  7.43939e-25,  0.0789513  ])
21873   , -4892.52    , array([ 19.7219    ,  99.9965    ,  7.44683e-25,  0.0789513  ])
21874   , -4895.61    , array([ 19.7219    ,  99.9965    ,  7.43939e-25,  0.0790303  ])
21875   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21876   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21877   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21879   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21880   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21881   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21882   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21883   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21885   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21886   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21887   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21888   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21889   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21891   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21892   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21893   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21894   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21895   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21897   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21898   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21899   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21900   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21901   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21903   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21904   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21905   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21906   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21907   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21909   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21910   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21911   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21912   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21913   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21915   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21916   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21917   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21918   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
