34072   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34073   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34074   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34075   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34076   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34077   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34078   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34079   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34080   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34081   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34082   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34083   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34084   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34085   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34086   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34087   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34088   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34089   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34090   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34091   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34092   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34093   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34094   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34095   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34096   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34097   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
