51906   , -55191.4    , array([ 3.82522    ,  12.0485    ,  2.67769e-14,  1.0101e-70 ,  0.775544   ])
51907   , -55191.4    , array([ 3.82522    ,  12.0485    ,  2.67769e-14,  1.0101e-70 ,  0.775544   ])
51908   , -55186.8    , array([ 3.82905    ,  12.0485    ,  2.67769e-14,  1.0101e-70 ,  0.775544   ])
51909   , -55203.6    , array([ 3.82522    ,  12.0606    ,  2.67769e-14,  1.0101e-70 ,  0.775544   ])
51910   , -55191.4    , array([ 3.82522    ,  12.0485    ,  2.68037e-14,  1.0101e-70 ,  0.775544   ])
51911   , -55191.4    , array([ 3.82522    ,  12.0485    ,  2.67769e-14,  1.01111e-70,  0.775544   ])
51912   , -55208.4    , array([ 3.82522    ,  12.0485    ,  2.67769e-14,  1.0101e-70 ,  0.77632    ])
51913   , -44876.4    , array([ 0.708693   ,  22.129     ,  2.95137e-23,  1.0101e-70 ,  0.111428   ])
51914   , -44876.4    , array([ 0.708693   ,  22.129     ,  2.95137e-23,  1.0101e-70 ,  0.111428   ])
51915   , -44874.4    , array([ 0.709402   ,  22.129     ,  2.95137e-23,  1.0101e-70 ,  0.111428   ])
51916   , -44878.4    , array([ 0.708693   ,  22.1511    ,  2.95137e-23,  1.0101e-70 ,  0.111428   ])
51917   , -44876.4    , array([ 0.708693   ,  22.129     ,  2.95432e-23,  1.0101e-70 ,  0.111428   ])
51918   , -44876.4    , array([ 0.708693   ,  22.129     ,  2.95137e-23,  1.01111e-70,  0.111428   ])
51919   , -44878.2    , array([ 0.708693   ,  22.129     ,  2.95137e-23,  1.0101e-70 ,  0.111539   ])
51920   , -44617.8    , array([ 0.811495   ,  19.2487    ,  1.2308e-22 ,  1.0101e-70 ,  0.129352   ])
51921   , -44617.8    , array([ 0.811495   ,  19.2487    ,  1.2308e-22 ,  1.0101e-70 ,  0.129352   ])
51922   , -44616      , array([ 0.812307   ,  19.2487    ,  1.2308e-22 ,  1.0101e-70 ,  0.129352   ])
51923   , -44620.3    , array([ 0.811495   ,  19.268     ,  1.2308e-22 ,  1.0101e-70 ,  0.129352   ])
51924   , -44617.8    , array([ 0.811495   ,  19.2487    ,  1.23203e-22,  1.0101e-70 ,  0.129352   ])
51925   , -44617.8    , array([ 0.811495   ,  19.2487    ,  1.2308e-22 ,  1.01111e-70,  0.129352   ])
51926   , -44620.3    , array([ 0.811495   ,  19.2487    ,  1.2308e-22 ,  1.0101e-70 ,  0.129481   ])
51927   , -44029.8    , array([ 0.986778   ,  14.534     ,  9.51051e-22,  1.0101e-70 ,  0.160965   ])
51928   , -44029.8    , array([ 0.986778   ,  14.534     ,  9.51051e-22,  1.0101e-70 ,  0.160965   ])
51929   , -44027.9    , array([ 0.987765   ,  14.534     ,  9.51051e-22,  1.0101e-70 ,  0.160965   ])
51930   , -44033.7    , array([ 0.986778   ,  14.5486    ,  9.51051e-22,  1.0101e-70 ,  0.160965   ])
51931   , -44029.8    , array([ 0.986778   ,  14.534     ,  9.52002e-22,  1.0101e-70 ,  0.160965   ])
51932   , -44029.8    , array([ 0.986778   ,  14.534     ,  9.51051e-22,  1.01111e-70,  0.160965   ])
51933   , -44033.4    , array([ 0.986778   ,  14.534     ,  9.51051e-22,  1.0101e-70 ,  0.161126   ])
51934   , -37121.7    , array([ 2.15751    ,  4.72412    ,  3.39059e-18,  1.0101e-70 ,  0.385985   ])
51935   , -37121.7    , array([ 2.15751    ,  4.72412    ,  3.39059e-18,  1.0101e-70 ,  0.385985   ])
51936   , -37116.7    , array([ 2.15967    ,  4.72412    ,  3.39059e-18,  1.0101e-70 ,  0.385985   ])
51937   , -37134.9    , array([ 2.15751    ,  4.72885    ,  3.39059e-18,  1.0101e-70 ,  0.385985   ])
51938   , -37121.7    , array([ 2.15751    ,  4.72412    ,  3.39398e-18,  1.0101e-70 ,  0.385985   ])
51939   , -37121.7    , array([ 2.15751    ,  4.72412    ,  3.39059e-18,  1.01111e-70,  0.385985   ])
51940   , -37129.9    , array([ 2.15751    ,  4.72412    ,  3.39059e-18,  1.0101e-70 ,  0.386371   ])
51948   , -37118.2    , array([ 2.15803    ,  4.72249    ,  3.39913e-18,  1.0101e-70 ,  0.386089   ])
51949   , -37118.2    , array([ 2.15803    ,  4.72249    ,  3.39913e-18,  1.0101e-70 ,  0.386089   ])
51950   , -37113.2    , array([ 2.16019    ,  4.72249    ,  3.39913e-18,  1.0101e-70 ,  0.386089   ])
51951   , -37131.4    , array([ 2.15803    ,  4.72721    ,  3.39913e-18,  1.0101e-70 ,  0.386089   ])
51952   , -37118.2    , array([ 2.15803    ,  4.72249    ,  3.40253e-18,  1.0101e-70 ,  0.386089   ])
