51043   , -393.029    , array([ 2.88847    ,  0.0326209  ,  1.50766e-32,  0.122833   ])
51044   , -393.025    , array([ 2.88558    ,  0.0326536  ,  1.50766e-32,  0.122833   ])
51045   , -393.029    , array([ 2.88558    ,  0.0326209  ,  1.50917e-32,  0.122833   ])
51046   , -393.053    , array([ 2.88558    ,  0.0326209  ,  1.50766e-32,  0.122956   ])
51047   , -393.029    , array([ 2.88558    ,  0.0326285  ,  1.50766e-32,  0.122853   ])
51048   , -393.029    , array([ 2.88558    ,  0.0326285  ,  1.50766e-32,  0.122853   ])
51049   , -393.029    , array([ 2.88847    ,  0.0326285  ,  1.50766e-32,  0.122853   ])
51050   , -393.025    , array([ 2.88558    ,  0.0326611  ,  1.50766e-32,  0.122853   ])
51051   , -393.029    , array([ 2.88558    ,  0.0326285  ,  1.50917e-32,  0.122853   ])
51052   , -393.053    , array([ 2.88558    ,  0.0326285  ,  1.50766e-32,  0.122976   ])
51053   , -393.029    , array([ 2.88558    ,  0.0326301  ,  1.50766e-32,  0.122857   ])
51054   , -393.029    , array([ 2.88558    ,  0.0326301  ,  1.50766e-32,  0.122857   ])
51055   , -393.029    , array([ 2.88847    ,  0.0326301  ,  1.50766e-32,  0.122857   ])
51056   , -393.025    , array([ 2.88558    ,  0.0326627  ,  1.50766e-32,  0.122857   ])
51057   , -393.029    , array([ 2.88558    ,  0.0326301  ,  1.50917e-32,  0.122857   ])
51058   , -393.053    , array([ 2.88558    ,  0.0326301  ,  1.50766e-32,  0.12298    ])
51059   , -393.029    , array([ 2.88558    ,  0.0326304  ,  1.50766e-32,  0.122858   ])
51060   , -393.029    , array([ 2.88558    ,  0.0326304  ,  1.50766e-32,  0.122858   ])
51061   , -393.029    , array([ 2.88847    ,  0.0326304  ,  1.50766e-32,  0.122858   ])
51062   , -393.025    , array([ 2.88558    ,  0.0326631  ,  1.50766e-32,  0.122858   ])
51063   , -393.029    , array([ 2.88558    ,  0.0326304  ,  1.50917e-32,  0.122858   ])
51064   , -393.053    , array([ 2.88558    ,  0.0326304  ,  1.50766e-32,  0.122981   ])
51065   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51066   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51067   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51068   , -393.025    , array([ 2.88558    ,  0.0326631  ,  1.50766e-32,  0.122858   ])
51069   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51070   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51071   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51072   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51073   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51074   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51075   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51076   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51077   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51078   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51079   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51080   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51081   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51082   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51083   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51084   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51085   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51086   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51087   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51088   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51089   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51090   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51091   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51092   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
