286498  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17731e-11,  0.0270912  ])
286499  , -1566.5     , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0271183  ])
286500  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286501  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286502  , -1568.27    , array([ 1.40156    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286503  , -1569.61    , array([ 1.40016    ,  0.0760194  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286504  , -1568.16    , array([ 1.40016    ,  0.0759434  ,  2.62978    ,  3.17413e-11,  0.0270912  ])
286505  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17731e-11,  0.0270912  ])
286506  , -1566.5     , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0271183  ])
286507  , -1555.84    , array([ 1.2423     ,  0.0858805  ,  5.25297    ,  3.17413e-11,  0.0319507  ])
286508  , -1555.84    , array([ 1.2423     ,  0.0858805  ,  5.25297    ,  3.17413e-11,  0.0319507  ])
286509  , -1556.12    , array([ 1.24354    ,  0.0858805  ,  5.25297    ,  3.17413e-11,  0.0319507  ])
286510  , -1557.74    , array([ 1.2423     ,  0.0859664  ,  5.25297    ,  3.17413e-11,  0.0319507  ])
286511  , -1556.19    , array([ 1.2423     ,  0.0858805  ,  5.25822    ,  3.17413e-11,  0.0319507  ])
286512  , -1555.84    , array([ 1.2423     ,  0.0858805  ,  5.25297    ,  3.17731e-11,  0.0319507  ])
286513  , -1553.91    , array([ 1.2423     ,  0.0858805  ,  5.25297    ,  3.17413e-11,  0.0319826  ])
286514  , -1543.88    , array([ 1.33921    ,  0.0794987  ,  3.39975    ,  3.17413e-11,  0.0288063  ])
286515  , -1543.88    , array([ 1.33921    ,  0.0794987  ,  3.39975    ,  3.17413e-11,  0.0288063  ])
286516  , -1544.06    , array([ 1.34055    ,  0.0794987  ,  3.39975    ,  3.17413e-11,  0.0288063  ])
286517  , -1545.39    , array([ 1.33921    ,  0.0795782  ,  3.39975    ,  3.17413e-11,  0.0288063  ])
286518  , -1543.97    , array([ 1.33921    ,  0.0794987  ,  3.40315    ,  3.17413e-11,  0.0288063  ])
286519  , -1543.88    , array([ 1.33921    ,  0.0794987  ,  3.39975    ,  3.17731e-11,  0.0288063  ])
286520  , -1542.25    , array([ 1.33921    ,  0.0794987  ,  3.39975    ,  3.17413e-11,  0.0288351  ])
286521  , -1499.01    , array([ 1.2867     ,  0.0841534  ,  3.51203    ,  3.17413e-11,  0.0312088  ])
