129939  , -1782.97    , array([ 1.87767    ,  0.0535067  ,  6.41938e-53,  1.36348e-59,  0.0208485  ])
129940  , -1783.06    , array([ 1.87955    ,  0.0535067  ,  6.41938e-53,  1.36348e-59,  0.0208485  ])
129941  , -1780.32    , array([ 1.87767    ,  0.0535602  ,  6.41938e-53,  1.36348e-59,  0.0208485  ])
129942  , -1782.97    , array([ 1.87767    ,  0.0535067  ,  6.4258e-53 ,  1.36348e-59,  0.0208485  ])
129943  , -1782.97    , array([ 1.87767    ,  0.0535067  ,  6.41938e-53,  1.36484e-59,  0.0208485  ])
129944  , -1785.37    , array([ 1.87767    ,  0.0535067  ,  6.41938e-53,  1.36348e-59,  0.0208694  ])
129945  , -1780.66    , array([ 1.62786    ,  0.0535363  ,  9.05072e-53,  1.36348e-59,  0.0209269  ])
129946  , -1780.66    , array([ 1.62786    ,  0.0535363  ,  9.05072e-53,  1.36348e-59,  0.0209269  ])
129947  , -1780.71    , array([ 1.62949    ,  0.0535363  ,  9.05072e-53,  1.36348e-59,  0.0209269  ])
129948  , -1777.88    , array([ 1.62786    ,  0.0535899  ,  9.05072e-53,  1.36348e-59,  0.0209269  ])
129949  , -1780.66    , array([ 1.62786    ,  0.0535363  ,  9.05977e-53,  1.36348e-59,  0.0209269  ])
129950  , -1780.66    , array([ 1.62786    ,  0.0535363  ,  9.05072e-53,  1.36484e-59,  0.0209269  ])
129951  , -1783.19    , array([ 1.62786    ,  0.0535363  ,  9.05072e-53,  1.36348e-59,  0.0209478  ])
129952  , -39242.1    , array([ 0.0557787  ,  0.0627738  ,  9.84388e-50,  1.36348e-59,  0.0261249  ])
129953  , -39242.1    , array([ 0.0557787  ,  0.0627738  ,  9.84388e-50,  1.36348e-59,  0.0261249  ])
129954  , -39199.9    , array([ 0.0558345  ,  0.0627738  ,  9.84388e-50,  1.36348e-59,  0.0261249  ])
129955  , -39246.6    , array([ 0.0557787  ,  0.0628366  ,  9.84388e-50,  1.36348e-59,  0.0261249  ])
129956  , -39242.1    , array([ 0.0557787  ,  0.0627738  ,  9.85373e-50,  1.36348e-59,  0.0261249  ])
129957  , -39242.1    , array([ 0.0557787  ,  0.0627738  ,  9.84388e-50,  1.36484e-59,  0.0261249  ])
129958  , -39275.4    , array([ 0.0557787  ,  0.0627738  ,  9.84388e-50,  1.36348e-59,  0.026151   ])
129959  , -1865.77    , array([ 0.921686   ,  0.0549926  ,  2.94209e-52,  1.36348e-59,  0.0217245  ])
129960  , -1865.77    , array([ 0.921686   ,  0.0549926  ,  2.94209e-52,  1.36348e-59,  0.0217245  ])
129961  , -1865.42    , array([ 0.922608   ,  0.0549926  ,  2.94209e-52,  1.36348e-59,  0.0217245  ])
129962  , -1862.59    , array([ 0.921686   ,  0.0550476  ,  2.94209e-52,  1.36348e-59,  0.0217245  ])
129963  , -1865.77    , array([ 0.921686   ,  0.0549926  ,  2.94503e-52,  1.36348e-59,  0.0217245  ])
129964  , -1865.77    , array([ 0.921686   ,  0.0549926  ,  2.94209e-52,  1.36484e-59,  0.0217245  ])
129965  , -1868.98    , array([ 0.921686   ,  0.0549926  ,  2.94209e-52,  1.36348e-59,  0.0217463  ])
129966  , -1780.23    , array([ 1.56153    ,  0.0536415  ,  9.86563e-53,  1.36348e-59,  0.0209842  ])
129967  , -1780.23    , array([ 1.56153    ,  0.0536415  ,  9.86563e-53,  1.36348e-59,  0.0209842  ])
129968  , -1780.27    , array([ 1.5631     ,  0.0536415  ,  9.86563e-53,  1.36348e-59,  0.0209842  ])
129969  , -1777.43    , array([ 1.56153    ,  0.0536952  ,  9.86563e-53,  1.36348e-59,  0.0209842  ])
129970  , -1780.23    , array([ 1.56153    ,  0.0536415  ,  9.8755e-53 ,  1.36348e-59,  0.0209842  ])
129971  , -1780.23    , array([ 1.56153    ,  0.0536415  ,  9.86563e-53,  1.36484e-59,  0.0209842  ])
129972  , -1782.8     , array([ 1.56153    ,  0.0536415  ,  9.86563e-53,  1.36348e-59,  0.0210052  ])
129973  , -1779.32    , array([ 1.56179    ,  0.0537288  ,  9.70875e-53,  1.36348e-59,  0.0210144  ])
129974  , -1779.32    , array([ 1.56179    ,  0.0537288  ,  9.70875e-53,  1.36348e-59,  0.0210144  ])
129975  , -1779.36    , array([ 1.56335    ,  0.0537288  ,  9.70875e-53,  1.36348e-59,  0.0210144  ])
129976  , -1776.53    , array([ 1.56179    ,  0.0537826  ,  9.70875e-53,  1.36348e-59,  0.0210144  ])
129977  , -1779.32    , array([ 1.56179    ,  0.0537288  ,  9.71846e-53,  1.36348e-59,  0.0210144  ])
129978  , -1779.32    , array([ 1.56179    ,  0.0537288  ,  9.70875e-53,  1.36484e-59,  0.0210144  ])
