2088    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2089    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2090    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.55009    ,  0.0489701  ])
2091    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0490191  ])
2092    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2093    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2094    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2095    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2096    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2097    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.55009    ,  0.0489701  ])
2098    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0490191  ])
2099    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2100    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2101    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2102    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2103    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2104    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.55009    ,  0.0489701  ])
2105    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0490191  ])
2106    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2107    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2108    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
