155536  , -39410.7    , array([ 0.0902034  ,  0.359228   ,  0.505314   ,  0.0708328  ,  0.0113356  ])
155537  , -39410.7    , array([ 0.0902034  ,  0.359228   ,  0.505314   ,  0.0708328  ,  0.0113356  ])
155538  , -39402.6    , array([ 0.0902937  ,  0.359228   ,  0.505314   ,  0.0708328  ,  0.0113356  ])
155539  , -39421.4    , array([ 0.0902034  ,  0.359587   ,  0.505314   ,  0.0708328  ,  0.0113356  ])
155540  , -39410.6    , array([ 0.0902034  ,  0.359228   ,  0.50582    ,  0.0708328  ,  0.0113356  ])
155541  , -39410.7    , array([ 0.0902034  ,  0.359228   ,  0.505314   ,  0.0709037  ,  0.0113356  ])
155542  , -39405.9    , array([ 0.0902034  ,  0.359228   ,  0.505314   ,  0.0708328  ,  0.011347   ])
155543  , -8425.3     , array([ 0.018013   ,  0.00475358 ,  1.13744    ,  0.0912864  ,  0.00193054 ])
155544  , -8425.3     , array([ 0.018013   ,  0.00475358 ,  1.13744    ,  0.0912864  ,  0.00193054 ])
155545  , -8415.98    , array([ 0.018031   ,  0.00475358 ,  1.13744    ,  0.0912864  ,  0.00193054 ])
155546  , -8421.75    , array([ 0.018013   ,  0.00475834 ,  1.13744    ,  0.0912864  ,  0.00193054 ])
155547  , -8425.26    , array([ 0.018013   ,  0.00475358 ,  1.13858    ,  0.0912864  ,  0.00193054 ])
155548  , -8425.3     , array([ 0.018013   ,  0.00475358 ,  1.13744    ,  0.0913777  ,  0.00193054 ])
155549  , -8437.89    , array([ 0.018013   ,  0.00475358 ,  1.13744    ,  0.0912864  ,  0.00193247 ])
155550  , -11403.9    , array([ 0.0267291  ,  0.0137146  ,  0.932404   ,  0.0857859  ,  0.00297861 ])
155551  , -11403.9    , array([ 0.0267291  ,  0.0137146  ,  0.932404   ,  0.0857859  ,  0.00297861 ])
155552  , -11392.8    , array([ 0.0267558  ,  0.0137146  ,  0.932404   ,  0.0857859  ,  0.00297861 ])
155553  , -11414.8    , array([ 0.0267291  ,  0.0137283  ,  0.932404   ,  0.0857859  ,  0.00297861 ])
155554  , -11403.9    , array([ 0.0267291  ,  0.0137146  ,  0.933337   ,  0.0857859  ,  0.00297861 ])
155555  , -11403.9    , array([ 0.0267291  ,  0.0137146  ,  0.932404   ,  0.0858717  ,  0.00297861 ])
155556  , -11403.6    , array([ 0.0267291  ,  0.0137146  ,  0.932404   ,  0.0857859  ,  0.00298159 ])
155557  , -8249.13    , array([ 0.019317   ,  0.00573474 ,  1.0981     ,  0.0902872  ,  0.00208465 ])
155558  , -8249.13    , array([ 0.019317   ,  0.00573474 ,  1.0981     ,  0.0902872  ,  0.00208465 ])
155559  , -8239.4     , array([ 0.0193363  ,  0.00573474 ,  1.0981     ,  0.0902872  ,  0.00208465 ])
155560  , -8248.73    , array([ 0.019317   ,  0.00574047 ,  1.0981     ,  0.0902872  ,  0.00208465 ])
155561  , -8249.09    , array([ 0.019317   ,  0.00573474 ,  1.09919    ,  0.0902872  ,  0.00208465 ])
155562  , -8249.13    , array([ 0.019317   ,  0.00573474 ,  1.0981     ,  0.0903776  ,  0.00208465 ])
155563  , -8258.97    , array([ 0.019317   ,  0.00573474 ,  1.0981     ,  0.0902872  ,  0.00208673 ])
155571  , -8248.93    , array([ 0.0192637  ,  0.00569191 ,  1.09552    ,  0.0903058  ,  0.00207817 ])
155572  , -8248.93    , array([ 0.0192637  ,  0.00569191 ,  1.09552    ,  0.0903058  ,  0.00207817 ])
155573  , -8239.22    , array([ 0.0192829  ,  0.00569191 ,  1.09552    ,  0.0903058  ,  0.00207817 ])
155574  , -8248.41    , array([ 0.0192637  ,  0.00569761 ,  1.09552    ,  0.0903058  ,  0.00207817 ])
155575  , -8248.89    , array([ 0.0192637  ,  0.00569191 ,  1.09661    ,  0.0903058  ,  0.00207817 ])
155576  , -8248.93    , array([ 0.0192637  ,  0.00569191 ,  1.09552    ,  0.0903962  ,  0.00207817 ])
155577  , -8258.87    , array([ 0.0192637  ,  0.00569191 ,  1.09552    ,  0.0903058  ,  0.00208024 ])
155578  , -8248.52    , array([ 0.0192665  ,  0.00569247 ,  1.09178    ,  0.0902926  ,  0.00207836 ])
155579  , -8248.52    , array([ 0.0192665  ,  0.00569247 ,  1.09178    ,  0.0902926  ,  0.00207836 ])
155580  , -8238.81    , array([ 0.0192857  ,  0.00569247 ,  1.09178    ,  0.0902926  ,  0.00207836 ])
155581  , -8248       , array([ 0.0192665  ,  0.00569816 ,  1.09178    ,  0.0902926  ,  0.00207836 ])
