83149   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83150   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83151   , -1629.6     , array([ 1.43251    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83152   , -1629.56    , array([ 1.43107    ,  0.067906   ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83153   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23281e-72,  0.0692093  ,  0.0243981  ])
83154   , -1629.6     , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692785  ,  0.0243981  ])
83155   , -1629.66    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0244225  ])
83156   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83157   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83158   , -1629.6     , array([ 1.43251    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83159   , -1629.56    , array([ 1.43107    ,  0.067906   ,  1.23158e-72,  0.0692093  ,  0.0243981  ])
83160   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23281e-72,  0.0692093  ,  0.0243981  ])
83161   , -1629.6     , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692786  ,  0.0243981  ])
83162   , -1629.66    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692093  ,  0.0244225  ])
83170   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83171   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83172   , -1629.6     , array([ 1.43251    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83173   , -1629.56    , array([ 1.43107    ,  0.067906   ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83174   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23281e-72,  0.0692094  ,  0.0243981  ])
83175   , -1629.6     , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692786  ,  0.0243981  ])
83176   , -1629.66    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0244225  ])
83177   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83178   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83179   , -1629.6     , array([ 1.43251    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83180   , -1629.56    , array([ 1.43107    ,  0.067906   ,  1.23158e-72,  0.0692094  ,  0.0243981  ])
83181   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23281e-72,  0.0692094  ,  0.0243981  ])
83182   , -1629.6     , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692786  ,  0.0243981  ])
83183   , -1629.66    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692094  ,  0.0244225  ])
83184   , -1675.09    , array([ 1.42687    ,  0.0679782  ,  1.23158e-72,  2.51516    ,  0.0245275  ])
83185   , -1675.09    , array([ 1.42687    ,  0.0679782  ,  1.23158e-72,  2.51516    ,  0.0245275  ])
83186   , -1675.11    , array([ 1.42829    ,  0.0679782  ,  1.23158e-72,  2.51516    ,  0.0245275  ])
83187   , -1677.57    , array([ 1.42687    ,  0.0680462  ,  1.23158e-72,  2.51516    ,  0.0245275  ])
83188   , -1675.09    , array([ 1.42687    ,  0.0679782  ,  1.23281e-72,  2.51516    ,  0.0245275  ])
