16944   , -2416.94    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.175671   ])
16945   , -2416.17    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.182499   ])
16946   , -2416.05    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16947   , -2416.16    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.178805   ])
16948   , -28688      , array([ 1.2893     ,  0.169025   ,  4.00786    ,  3.54876    ,  0.0134265  ])
16949   , -2416.05    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16950   , -3531.47    , array([ 2.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16952   , -2416.05    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16953   , -5933.34    , array([ 0.461517   ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16954   , -2711.51    , array([ 1.46152    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16955   , -2467.73    , array([ 1.21071    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16956   , -2424.67    , array([ 1.0149     ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16957   , -2415.67    , array([ 1.07199    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16958   , -2415.6     , array([ 1.06794    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16959   , -2415.6     , array([ 1.06733    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16960   , -2415.6     , array([ 1.06745    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16961   , -2415.6     , array([ 1.06721    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16962   , -2415.6     , array([ 1.06733    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16963   , -31453.3    , array([ 1.06733    ,  1.20234    ,  3.46053    ,  3.33131    ,  0.180475   ])
16965   , -2415.6     , array([ 1.06733    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.180475   ])
16967   , -16671.5    , array([ 1.06733    ,  0.584304   ,  3.46053    ,  3.33131    ,  0.180475   ])
16968   , -9389.03    , array([ 1.06733    ,  0.393205   ,  3.46053    ,  3.33131    ,  0.180475   ])
16970   , -4549.97    , array([ 1.06733    ,  0.112168   ,  3.46053    ,  3.33131    ,  0.180475   ])
16971   , -2621.94    , array([ 1.06733    ,  0.212499   ,  3.46053    ,  3.33131    ,  0.180475   ])
16972   , -2178.22    , array([ 1.06733    ,  0.184254   ,  3.46053    ,  3.33131    ,  0.180475   ])
16973   , -2270.09    , array([ 1.06733    ,  0.15672    ,  3.46053    ,  3.33131    ,  0.180475   ])
16974   , -2137.57    , array([ 1.06733    ,  0.175109   ,  3.46053    ,  3.33131    ,  0.180475   ])
16975   , -2137.07    , array([ 1.06733    ,  0.17443    ,  3.46053    ,  3.33131    ,  0.180475   ])
16976   , -2136.93    , array([ 1.06733    ,  0.173784   ,  3.46053    ,  3.33131    ,  0.180475   ])
16977   , -2136.95    , array([ 1.06733    ,  0.17407    ,  3.46053    ,  3.33131    ,  0.180475   ])
16978   , -2136.98    , array([ 1.06733    ,  0.173499   ,  3.46053    ,  3.33131    ,  0.180475   ])
16979   , -2136.93    , array([ 1.06733    ,  0.173784   ,  3.46053    ,  3.33131    ,  0.180475   ])
16980   , -2104.93    , array([ 1.06733    ,  0.173784   ,  4.46053    ,  3.33131    ,  0.180475   ])
16981   , -2564.02    , array([ 1.06733    ,  0.173784   ,  6.07856    ,  3.33131    ,  0.180475   ])
16982   , -2104.93    , array([ 1.06733    ,  0.173784   ,  4.46053    ,  3.33131    ,  0.180475   ])
16983   , -2219.37    , array([ 1.06733    ,  0.173784   ,  5.07856    ,  3.33131    ,  0.180475   ])
16984   , -2081.54    , array([ 1.06733    ,  0.173784   ,  4.07856    ,  3.33131    ,  0.180475   ])
16985   , -2081.56    , array([ 1.06733    ,  0.173784   ,  4.02245    ,  3.33131    ,  0.180475   ])
16986   , -2081.43    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.33131    ,  0.180475   ])
16987   , -2081.44    , array([ 1.06733    ,  0.173784   ,  4.04553    ,  3.33131    ,  0.180475   ])
16988   , -2081.44    , array([ 1.06733    ,  0.173784   ,  4.05734    ,  3.33131    ,  0.180475   ])
16989   , -2081.43    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.33131    ,  0.180475   ])
16990   , -2342.25    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  4.33131    ,  0.180475   ])
16991   , -3069.91    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  1.71328    ,  0.180475   ])
16992   , -2081.43    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.33131    ,  0.180475   ])
16993   , -2192.04    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  2.71328    ,  0.180475   ])
16994   , -2127.06    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.71328    ,  0.180475   ])
16995   , -2081.3     , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.32214    ,  0.180475   ])
16996   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.29954    ,  0.180475   ])
16997   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.180475   ])
16998   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30162    ,  0.180475   ])
16999   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30102    ,  0.180475   ])
17000   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.180475   ])
17001   , -3819.63    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  1.18048    ])
17003   , -2081.17    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.180475   ])
17005   , -3245.9     , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.562441   ])
17006   , -2836.79    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.371449   ])
17008   , -2330.82    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.0903054  ])
17009   , -2142.35    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.19326    ])
17010   , -1972.53    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.154258   ])
17011   , -1932.48    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.12983    ])
17012   , -1938.13    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.125463   ])
17013   , -1931.72    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.133996   ])
17014   , -1931.52    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.13261    ])
17015   , -1931.54    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.133089   ])
17016   , -1931.55    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.132132   ])
17017   , -1645.3     , array([ 1.05511    ,  0.145231   ,  4.64234    ,  3.27132    ,  0.084745   ])
17018   , -1931.52    , array([ 1.06733    ,  0.173784   ,  4.05143    ,  3.30132    ,  0.13261    ])
17019   , -1645.3     , array([ 1.05511    ,  0.145231   ,  4.64234    ,  3.27132    ,  0.084745   ])
17020   , -30158.8    , array([ 1.03534    ,  0.09903    ,  5.59844    ,  3.22278    ,  0.00729753 ])
17021   , -1645.3     , array([ 1.05511    ,  0.145231   ,  4.64234    ,  3.27132    ,  0.084745   ])
17022   , -2030.38    , array([ 1.04756    ,  0.127584   ,  5.00754    ,  3.25278    ,  0.0551627  ])
17023   , -1711.32    , array([ 1.05978    ,  0.156137   ,  4.41663    ,  3.28278    ,  0.103028   ])
17024   , -1651.04    , array([ 1.05612    ,  0.147584   ,  4.59365    ,  3.27379    ,  0.0886892  ])
17025   , -1645.43    , array([ 1.05438    ,  0.143521   ,  4.67771    ,  3.26952    ,  0.0818795  ])
17026   , -1644.87    , array([ 1.05477    ,  0.144437   ,  4.65875    ,  3.27049    ,  0.0834154  ])
17027   , -1644.92    , array([ 1.05465    ,  0.144144   ,  4.66483    ,  3.27018    ,  0.0829235  ])
17028   , -1644.93    , array([ 1.0549     ,  0.144731   ,  4.65268    ,  3.2708     ,  0.0839074  ])
